id;car_2020;car_2025;car_2030;car_2035;car_2040;car_2045;car_2050;bus_2020;bus_2025;bus_2030;bus_2035;bus_2040;bus_2045;bus_2050;train_2020;train_2025;train_2030;train_2035;train_2040;train_2045;train_2050
0;0,051328635;0,059107111;0,05117491;0,040054312;0,036544451;0,050261663;0,034985286;0,349916125;0,359135951;0,359347436;0,358455181;0,348347798;0,349593913;0,355200205;0,000913883;0,000859442;0,000767619;0,001100059;0,001706503;0,001571823;0,000828883
1;0,044066443;0,044309827;0,042911027;0,046970572;0,048091295;0,048437671;0,050078623;0,349916125;0,359135951;0,359347436;0,358455181;0,348347798;0,349593913;0,355200205;0,001212738;0,003877876;0,001432006;0,004057179;0,001991379;0,002603761;0,002171636
2;0,050210928;0,050530746;0,042874444;0,058274665;0,054304059;0,05922616;0,044181049;0,349916125;0,359135951;0,359347436;0,358455181;0,348347798;0,349593913;0,355200205;0,000862462;0,003020079;0,002360018;0,002390327;0,001641162;0,001955789;0,002413999
3;0,059346065;0,055427939;0,056604922;0,044706959;0,045549972;0,04209313;0,045267762;0,349916125;0,359135951;0,359347436;0,358455181;0,348347798;0,349593913;0,355200205;0,00275683;0,001346769;0,003185148;0,003148143;0,002238009;0,002744187;0,002599496
4;0,04168747;0,056106942;0,049338296;0,053019996;0,045475661;0,041570008;0,05064257;0,349690123;0,359135951;0,359347436;0,358455181;0,348347798;0,349364594;0,355200205;0,000829472;0,0001574;0,001848822;0,001931759;0,002658751;0,004543247;0,002129401
5;0,060942724;0,051758371;0,050117711;0,060472032;0,044501288;0,060131564;0,053693609;0,331459245;0,359135951;0,359347436;0,358455181;0,348347798;0,333806873;0,355200205;0,031360274;0,003779364;0,004357921;0,007182234;0,005407672;0,043087743;0,005182742
6;0,058815331;0,028388312;0,014059801;0,025131158;0,012357577;0,060245467;0,014733778;0,005181245;0,005985599;0,005989124;0,005974253;0,005805797;0,005409263;0,005920003;0,109310128;0,042785701;0,034400401;0,038646314;0,038785086;0,130224977;0,037972805
7;0,046355121;0,01655385;0,010641801;0,0048551;0,006207955;0,040564719;0,006248571;0;0;0;0;0;0;0;0,151521839;0,07349528;0,085996109;0,092784636;0,087235646;0,165620094;0,090982619
8;0,076366017;0,019058967;0,037485005;0,032724845;0,022500664;0,069331233;0,040321377;0;0;0;0;0;0;0;0,176533953;0,099662807;0,110393196;0,126389184;0,120815372;0,173513347;0,120402918
9;0,140684116;0,055352668;0,102639735;0,085772699;0,080738406;0,131735165;0,10706682;0;0;0;0;0;0;0;0,174924332;0,125398794;0,120992531;0,14015701;0,133912486;0,17758309;0,135467059
10;0,111260598;0,098226203;0,123742201;0,104263417;0,109123014;0,119876293;0,125030886;0;0;0;0;0;0;0;0,178650087;0,135223329;0,127184183;0,148221528;0,14079851;0,180322934;0,143338128
11;0,106432724;0,119947298;0,149104365;0,142451298;0,145897702;0,104994056;0,150888684;0;0;0;0;0;0;0;0,178101835;0,139714668;0,133366678;0,148412463;0,142503982;0,190083778;0,14499744
12;0,11046678;0,135232814;0,164462024;0,13021327;0,141494468;0,116723602;0,164137951;0;0;0;0;0;0;0;0,183707824;0,135194616;0,135131219;0,143750358;0,138017603;0,192279469;0,141265011
13;0,113911705;0,145197817;0,153311221;0,126255951;0,161803302;0,124380426;0,145880029;0;0;0;0;0;0;0;0,188683364;0,138510846;0,132476204;0,145664362;0,137345909;0,18639537;0,141937603
14;0,116336442;0,148915992;0,137560405;0,140600098;0,166963659;0,11789391;0,151479138;0;0;0;0;0;0;0;0,184025411;0,141687544;0,134845408;0,139929578;0,136483483;0,179070852;0,139419385
15;0,145817157;0,148222607;0,159428521;0,167532156;0,147552208;0,179717843;0,162094504;0;0;0;0;0;0;0;0,177750609;0,149731368;0,136325243;0,135317836;0,135715789;0,180701139;0,142386819
16;0,208996116;0,156468713;0,156178244;0,162866388;0,156065928;0,216425057;0,156180794;0;0;0;0;0;0;0;0,182236413;0,132578224;0,136809402;0,138283194;0,134421833;0,188321947;0,138808201
17;0,250860636;0,165048867;0,149738261;0,139082869;0,135391608;0,239085345;0,159833356;0;0;0;0;0;0;0;0,180313804;0,131226182;0,129963166;0,134005416;0,1321235;0,178408951;0,134832727
18;0,304997136;0,20495491;0,224405578;0,234640066;0,215074727;0,269185633;0,22209988;0;0;0;0;0;0;0;0,182553051;0,1296819;0,123073672;0,126588402;0,130575578;0,181355229;0,128824721
19;0,241414326;0,184148875;0,215831736;0,184239081;0,199791614;0,212440772;0,180396793;0;0;0;0;0;0;0;0,169563185;0,110770368;0,109859575;0,114921435;0,118988402;0,186162028;0,114354734
20;0,144913442;0,16536307;0,155256232;0,139032061;0,156712261;0,147944619;0,148955449;0;0;0;0;0;0;0;0,163172366;0,080876451;0,069600414;0,081976698;0,081846425;0,168532738;0,075666796
21;0,112386133;0,133131239;0,129700536;0,105633156;0,106514016;0,110512094;0,130201065;0,17755934;0,100579663;0,105239296;0,100342475;0,099970498;0,176449941;0,101356953;0,140373872;0,016646946;0,016010215;0,018354865;0,017563201;0,149534987;0,017154436
22;0,109805275;0,159142066;0,1786825;0,171865866;0,150068372;0,108657522;0,1614102;0,35136521;0,201159325;0,210478593;0,20068495;0,199940996;0,347692717;0,202713905;0,070541359;0,006595981;0,004901429;0,006478445;0,003426264;0,081156311;0,004446048
23;0,090920378;0,148783397;0,129464445;0,119725448;0,126683475;0,094983714;0,135945132;0,35136521;0,201159325;0,210478593;0,20068495;0,199940996;0,347692717;0,202713905;0,011970083;0,003979483;0,002863474;0,004167883;0,003156808;0,009065953;0,003864217
24;0,058060692;0,07791934;0,036305762;0,045430367;0,035728005;0,052139811;0,03822014;0,35136521;0,201159325;0,210478593;0,20068495;0,199940996;0,347692717;0,202713905;4,49E-10;0,000567864;0,000635546;0,001130026;0,000900378;0,003940187;0,001075256
25;0,059298865;0,061487751;0,044091217;0,049704571;0,053072912;0,039481463;0,057172283;0,35136521;0,201159325;0,210478593;0,20068495;0,199940996;0,347692717;0,202713905;0,001363927;0,000437887;0,00138105;0,001699222;0,001370927;0,008346773;0,001197047
26;0,060875236;0,059826673;0,055737278;0,053951328;0,0518088;0,03905312;0,047972004;0,35136521;0,201159325;0,210478593;0,20068495;0,199940996;0,347692717;0,202713905;0,000948778;0,000588211;0,00129945;0,001410831;0,001009967;0,004449837;0,001432338
27;0,063955091;0,056792963;0,049360713;0,056689524;0,059832536;0,041417614;0,04985492;0,35136521;0,201159325;0,210478593;0,20068495;0,199940996;0,347692717;0,202713905;0,000534538;0,001034527;0,001276463;0,001403672;0,001592528;0,002162236;0,001914493
28;0,055947373;0,055065756;0,041989789;0,033912791;0,037204708;0,040798177;0,038471265;0,351305146;0,201039966;0,210360524;0,200518274;0,199822598;0,347692717;0,202649333;0,004058109;0,001407243;0,002537329;0,002610012;0,002423946;0,002585981;0,002715839
29;0,0714767;0,061148439;0,08357113;0,074632097;0,078909458;0,04511309;0,084544358;0,335086537;0,192576999;0,200280601;0,190576345;0,191869585;0,344718651;0,194575769;0,04347587;0,043373979;0,043121581;0,045892832;0,044511981;0,009863214;0,045563595
30;0,069742913;0,053747053;0,039490837;0,047420168;0,048249712;0,027875003;0,050644623;0,005236717;0,003088334;0,003271143;0,002966378;0,0030553;0,005597861;0,003079987;0,114320327;0,130544006;0,129618975;0,133897785;0,131643287;0,056582928;0,135322934
31;0,048277677;0,040693086;0,040055009;0,032704703;0,045776925;0,013939239;0,043965465;0;0;0;0;0;0;0;0,163567257;0,171418483;0,166857228;0,173166981;0,172233039;0,132107961;0,174695447
32;0,082882749;0,068228649;0,101233524;0,098495001;0,097814752;0,021995359;0,108500017;0;0;0;0;0;0;0;0,168477235;0,172020583;0,176060335;0,182764538;0,178582504;0,155897273;0,186354517
