index;middle_2020;east_2020;swest_2020;north_2020;middle_2025;east_2025;swest_2025;north_2025;middle_2030;east_2030;swest_2030;north_2030;middle_2035;east_2035;swest_2035;north_2035;middle_2040;east_2040;swest_2040;north_2040;middle_2045;east_2045;swest_2045;north_2045;middle_2050;east_2050;swest_2050;north_2050
3796;30,14688198;29,57920591;18,81421412;15,06227659;30,13469695;29,51055873;18,85192239;15,11447828;29,66564538;29,08868867;18,54269078;14,85986126;30,3524663;29,73370208;18,96766901;15,19699532;30,36335074;29,77979735;18,95475712;15,18254743;30,53509172;29,92235234;19,08838896;15,29730862;30,53509172;29,92235234;19,08838896;15,29730862
3797;33,93610884;33,25389568;21,20143543;16,98392635;34,55749846;33,83681242;21,60441138;17,3152815;34,39577415;33,71494566;21,49492438;17,22342751;34,90653024;34,1947114;21,8302694;17,4982262;34,39984564;33,73744605;21,48135364;17,2100396;34,93206783;34,25905378;21,82767681;17,4912397;34,93206783;34,25905378;21,82767681;17,4912397
3798;35,73079918;35,01562931;22,33129291;17,89480474;36,87601018;36,14247483;23,04026552;18,46021476;36,61629493;35,89365494;22,88107504;18,33306547;88,84381207;87,11069827;55,65636398;44,62954173;85,27535802;83,73940965;53,34571113;42,7408293;86,97618421;85,37297137;54,52977475;43,74090827;86,97618421;85,37297137;54,52977475;43,74090827
3799;38,20598032;37,44579475;23,87499467;19,12908584;38,34592466;37,57469888;23,97123293;19,21076047;38,17506451;37,43679801;23,84373632;19,1010194;179,066272;174,8587239;111,7488481;89,31421477;170,2367064;166,5459875;106,1026245;84,7593857;177,4726254;173,4398958;110,7270803;88,48067366;177,4726254;173,4398958;110,7270803;88,48067366
3800;46,04918974;45,00374631;28,782218;23,07367357;44,94895143;43,97139388;28,12660188;22,5520078;45,5786616;44,69234403;28,54437533;22,89913111;141,4393952;137,5867017;88,80993747;71,31455112;132,0260825;128,6591374;82,42989871;65,94207679;138,7467974;135,3408545;86,77026717;69,55333244;138,7467974;135,3408545;86,77026717;69,55333244
3801;125,6274102;122,1769663;78,88715285;63,36586002;125,260768;122,350659;78,39628547;62,8300825;126,6397765;123,5269872;79,47353655;63,85257742;95,34580522;92,58180611;60,17102804;48,49304283;90,66418132;87,98108726;56,99196771;45,86621947;100,9250129;98,33089245;63,47058377;51,04003403;100,9250129;98,33089245;63,47058377;51,04003403
3802;169,2413133;164,6457328;106,5451313;85,7434062;175,8736702;171,7050156;110,4157328;88,77111526;164,4895996;160,2754478;103,7121529;83,51858389;90,11607126;87,42424086;56,78300703;45,74567888;92,52594022;89,81407693;58,19572819;46,86207312;99,02534515;96,35002823;62,30104433;50,08889092;99,02534515;96,35002823;62,30104433;50,08889092
3803;157,6033652;153,7430743;99,10896134;79,68438749;148,5177127;144,8345105;93,44573565;75,15322394;164,127241;160,1031432;102,9350407;82,6034954;97,06299774;94,40872789;60,93285172;48,98160429;96,84448475;94,21161715;60,95184385;49,09852522;89,61583785;87,10154389;56,14082259;45,06820826;89,61583785;87,10154389;56,14082259;45,06820826
3804;117,4354525;114,4252564;74,19718356;59,89217095;113,1307397;110,1553832;71,28319311;57,44777155;115,5162275;111,8224538;73,18584337;59,20410674;97,65862884;95,03779887;61,41104136;49,45722098;88,44431338;86,07595683;55,52776674;44,66126701;88,92373797;86,77969937;55,57162666;44,63251485;88,92373797;86,77969937;55,57162666;44,63251485
3805;117,5719148;114,5670872;74,15259963;59,80672536;111,1710109;108,1614489;69,83780285;56,2313459;117,4099185;114,0498978;73,98942207;59,70909691;94,06198151;91,39706177;59,14938941;47,64175301;82,91094417;80,66165352;52,01391547;41,7978215;87,72441651;85,55575345;54,83769629;44,04117257;87,72441651;85,55575345;54,83769629;44,04117257
