;G0;G3;HA4;Prozessgas;T24
6719;0,0194919205;0,023647715;0,062803;0,112039;0,083121
6720;0,01918131725;0,023292267499999998;0,097698;0,054798;0,072012
6721;0,01911295175;0,0235479425;0,109734;0,054219;0,079084
6722;0,01732343025;0,0236352905;0,100354;0,055029;0,075548
6723;0,016894668;0,02233187875;0,103797;0,055856;0,082942
6724;0,01747879425;0,021259168;0,110236;0,05698;0,111232
6725;0,0180317605;0,021639652000000002;0,115771;0,059227;0,164598
6726;0,01859095875;0,02418403925;0,151131;0,061609;0,168456
6727;0,02825929975;0,02563704725;0,18802;0,06336;0,163312
6728;0,041898116;0,03216016075;0,201715;0,066114;0,159133
6729;0,046545762;0,034916455;0,190953;0,070246;0,150453
6730;0,04747788375;0,03452367125;0,164056;0,072175;0,144987
6731;0,04847824625;0,03577089025;0,147256;0,07322;0,139844
6732;0,047738818;0,035234566;0,143957;0,067167;0,137272
6733;0,041941615249999994;0,03373160925;0,12459;0,058478;0,135022
6734;0,031291546249999996;0,0298714485;0,117604;0,050816;0,135343
6735;0,023580431;0,026996588749999998;0,115247;0,046556;0,138879
6736;0,01962865075;0,025992557;0,112719;0,044352;0,146273
6737;0,01984614825;0,02715242825;0,10432;0,042423;0,153667
6738;0,020914875;0,026977795;0,096599;0,040495;0,160419
6739;0,021536206750000002;0,02695918925;0,088568;0,038567;0,164919
6740;0,0226546655;0,028243745;0,087502;0,036703;0,163633
6741;0,0218531045;0,02660992275;0,08869;0,035736;0,149488
6742;0,01996418225;0,02429005575;0,079631;0,034197;0,12602
6743;0,018112589499999998;0,0225937975;0,079772;0,036575;0,092265
6744;0,01627956875;0,02182671025;0,100874;0,042854;0,072092
6745;0,0141048465;0,02212609;0,128235;0,044016;0,079173
6746;0,01214132675;0,02264986475;0,123375;0,048015;0,075632
6747;0,011109866749999999;0,02151490525;0,128236;0,048613;0,083035
6748;0,0108488705;0,020704175499999998;0,157144;0,050609;0,111357
6749;0,01124653475;0,02114078975;0,203964;0,051115;0,164782
6750;0,011302435999999999;0,02334839725;0,138431;0,050777;0,168644
6751;0,012402261;0,02437109725;0,155424;0,050412;0,163495
6752;0,01323492;0,02586774775;0,134294;0,050412;0,159311
6753;0,01516104725;0,025294024499999998;0,137234;0,050432;0,150621
6754;0,0171680665;0,02401564975;0,113247;0,050963;0,14515
6755;0,01909431825;0,024102935;0,114108;0,050963;0,14
6756;0,02057317425;0,02377246175;0,11547;0,050963;0,137426
6757;0,020206545;0,02382852925;0,096955;0,046263;0,135173
