;middle;north;east;swest
6947;59,02096237;36,08624758;63,80451962;44,17646809
6948;56,73169754;34,65387395;61,33789637;42,42858709
6949;56,12344402;34,13162879;60,71798634;41,81510304
6950;48,48906446;29,04026572;52,57090302;35,65511338
6951;47,91536487;28,45024448;52,01060505;34,97394006
6952;43,29236754;25,60799006;47,01684878;31,49717387
6953;46,8280248;28,44697118;50,66951517;34,85621974
6954;51,98025405;31,90173967;56,16305963;39,03315505
6955;52,22723263;31,67621617;56,52432285;38,82179329
6956;54,53136807;33,17651466;58,99229267;40,64271448
6957;58,18016839;35,17864848;62,99410313;43,13303685
6958;52,67176524;31,22502038;57,18589065;38,39371884
6959;39,83048669;22,20356355;43,59679549;27,55086344
6960;23,58810722;12,08578655;26,08480279;15,19690583
6961;15,8453973;7,627644958;17,64549431;9,691870004
6962;17,21003383;8,446314213;19,12466031;10,69677449
6963;15,83548356;7,582361715;17,64459659;9,643176542
6964;17,65528726;9,126455585;19,50387781;11,45928195
6965;31,39540061;17,06453665;34,47347635;21,25656553
6966;62,50194989;38,44990342;67,50871864;47,02958353
6967;78,07889999;51,3940147;83,49189408;62,28775846
6968;80,33712613;50,65413171;86,46405472;61,74651162
6969;63,95566594;39,44985444;69,05243413;48,23461278
6970;63,08527489;38,63267304;68,18285444;47,28321754
6971;59,02096237;36,08624758;63,80451962;44,17646809
6972;56,73169754;34,65387395;61,33789637;42,42858709
6973;56,12344402;34,13162879;60,71798634;41,81510304
6974;48,48906446;29,04026572;52,57090302;35,65511338
6975;47,91536487;28,45024448;52,01060505;34,97394006
6976;43,29236754;25,60799006;47,01684878;31,49717387
6977;46,8280248;28,44697118;50,66951517;34,85621974
6978;51,98025405;31,90173967;56,16305963;39,03315505
6979;52,22723263;31,67621617;56,52432285;38,82179329
6980;54,53136807;33,17651466;58,99229267;40,64271448
6981;58,18016839;35,17864848;62,99410313;43,13303685
6982;52,67176524;31,22502038;57,18589065;38,39371884
6983;39,83048669;22,20356355;43,59679549;27,55086344
6984;23,58810722;12,08578655;26,08480279;15,19690583
6985;15,8453973;7,627644958;17,64549431;9,691870004
6986;17,21003383;8,446314213;19,12466031;10,69677449
6987;15,83548356;7,582361715;17,64459659;9,643176542
6988;17,65528726;9,126455585;19,50387781;11,45928195
6989;31,39540061;17,06453665;34,47347635;21,25656553
6990;62,50194989;38,44990342;67,50871864;47,02958353
6991;78,07889999;51,3940147;83,49189408;62,28775846
6992;80,33712613;50,65413171;86,46405472;61,74651162
6993;63,95566594;39,44985444;69,05243413;48,23461278
6994;63,08527489;38,63267304;68,18285444;47,28321754
6995;59,02096237;36,08624758;63,80451962;44,17646809
6996;56,73169754;34,65387395;61,33789637;42,42858709
6997;56,12344402;34,13162879;60,71798634;41,81510304
6998;48,48906446;29,04026572;52,57090302;35,65511338
6999;47,91536487;28,45024448;52,01060505;34,97394006
7000;43,29236754;25,60799006;47,01684878;31,49717387
7001;46,8280248;28,44697118;50,66951517;34,85621974
7002;51,98025405;31,90173967;56,16305963;39,03315505
7003;52,22723263;31,67621617;56,52432285;38,82179329
7004;54,53136807;33,17651466;58,99229267;40,64271448
7005;58,18016839;35,17864848;62,99410313;43,13303685
7006;52,67176524;31,22502038;57,18589065;38,39371884
7007;39,83048669;22,20356355;43,59679549;27,55086344
7008;23,58810722;12,08578655;26,08480279;15,19690583
7009;15,8453973;7,627644958;17,64549431;9,691870004
7010;17,21003383;8,446314213;19,12466031;10,69677449
7011;15,83548356;7,582361715;17,64459659;9,643176542
7012;17,65528726;9,126455585;19,50387781;11,45928195
7013;31,39540061;17,06453665;34,47347635;21,25656553
7014;62,50194989;38,44990342;67,50871864;47,02958353
7015;78,07889999;51,3940147;83,49189408;62,28775846
7016;80,33712613;50,65413171;86,46405472;61,74651162
7017;63,95566594;39,44985444;69,05243413;48,23461278
7018;63,08527489;38,63267304;68,18285444;47,28321754
7019;59,02096237;36,08624758;63,80451962;44,17646809
7020;56,73169754;34,65387395;61,33789637;42,42858709
7021;56,12344402;34,13162879;60,71798634;41,81510304
7022;48,48906446;29,04026572;52,57090302;35,65511338
7023;47,91536487;28,45024448;52,01060505;34,97394006
7024;43,29236754;25,60799006;47,01684878;31,49717387
7025;46,8280248;28,44697118;50,66951517;34,85621974
7026;51,98025405;31,90173967;56,16305963;39,03315505
7027;52,22723263;31,67621617;56,52432285;38,82179329
7028;54,53136807;33,17651466;58,99229267;40,64271448
7029;58,18016839;35,17864848;62,99410313;43,13303685
7030;52,67176524;31,22502038;57,18589065;38,39371884
7031;39,83048669;22,20356355;43,59679549;27,55086344
7032;23,58810722;12,08578655;26,08480279;15,19690583
7033;15,8453973;7,627644958;17,64549431;9,691870004
7034;17,21003383;8,446314213;19,12466031;10,69677449
7035;15,83548356;7,582361715;17,64459659;9,643176542
7036;17,65528726;9,126455585;19,50387781;11,45928195
7037;31,39540061;17,06453665;34,47347635;21,25656553
7038;62,50194989;38,44990342;67,50871864;47,02958353
7039;78,07889999;51,3940147;83,49189408;62,28775846
7040;80,33712613;50,65413171;86,46405472;61,74651162
7041;63,95566594;39,44985444;69,05243413;48,23461278
7042;63,08527489;38,63267304;68,18285444;47,28321754
7043;59,02096237;36,08624758;63,80451962;44,17646809
7044;56,73169754;34,65387395;61,33789637;42,42858709
7045;56,12344402;34,13162879;60,71798634;41,81510304
7046;48,48906446;29,04026572;52,57090302;35,65511338
7047;47,91536487;28,45024448;52,01060505;34,97394006
7048;43,29236754;25,60799006;47,01684878;31,49717387
7049;46,8280248;28,44697118;50,66951517;34,85621974
7050;51,98025405;31,90173967;56,16305963;39,03315505
7051;52,22723263;31,67621617;56,52432285;38,82179329
7052;54,53136807;33,17651466;58,99229267;40,64271448
7053;58,18016839;35,17864848;62,99410313;43,13303685
7054;52,67176524;31,22502038;57,18589065;38,39371884
7055;39,83048669;22,20356355;43,59679549;27,55086344
7056;23,58810722;12,08578655;26,08480279;15,19690583
7057;15,8453973;7,627644958;17,64549431;9,691870004
7058;17,21003383;8,446314213;19,12466031;10,69677449
7059;15,83548356;7,582361715;17,64459659;9,643176542
7060;17,65528726;9,126455585;19,50387781;11,45928195
7061;31,39540061;17,06453665;34,47347635;21,25656553
