id;heat_tww
0;358,0678918
1;400,5891033
2;447,9919805
3;478,8204832
4;510,3316157
5;549,8026061
6;603,4476824
7;640,804909
8;664,7326249
9;645,712847
10;629,4874576
11;591,9970174
12;557,6259373
13;555,0942752
14;556,0417049
15;566,853891
16;556,0579986
17;561,2137772
18;569,8797223
19;576,6828985
20;583,2290532
21;594,0227723
22;596,0638057
23;591,0986299
24;580,1646612
25;577,5969815
26;581,1978007
27;581,6265945
28;584,9007733
29;599,813894
30;631,8665744
31;652,8533377
32;662,6840469
33;631,8604748
34;594,8464217
35;534,8135981
36;492,8231859
37;477,9659188
38;482,3503752
39;489,6729085
40;476,1727809
41;481,7303435
42;491,6134155
43;500,2914657
44;512,0746429
45;523,2169492
46;528,3700546
47;526,8086628
48;525,1768734
49;529,9627058
50;549,7772562
51;559,259671
52;571,6245201
53;595,6583245
54;636,8560031
55;664,1759584
56;674,346366
57;637,993775
58;605,9900717
59;526,5120467
60;490,6967443
61;507,9366181
62;521,8719942
63;533,4341381
64;527,0012726
65;533,2945106
66;545,7112105
67;553,6037738
68;563,8613451
69;572,8807617
70;575,4289344
71;570,8735505
72;563,1022342
73;563,9801143
74;574,0860928
75;581,5504045
76;583,7933199
77;602,6438363
78;638,76677
79;663,9309243
80;675,1939228
81;668,7696612
82;656,5158947
83;623,0540023
84;602,8655934
85;607,4943921
86;616,1623999
87;621,3903338
88;598,1930545
89;601,4731343
90;611,4555413
91;617,3813626
92;626,0498549
93;636,61677
94;641,3053349
95;633,7058677
96;628,246841
97;623,3883127
98;632,7413249
99;636,7661073
100;643,8345744
101;659,8705039
102;695,6601981
103;713,0770839
104;713,9879256
105;672,3600053
106;649,4801913
107;626,955017
108;610,9562336
109;602,2051429
110;595,686912
111;603,4463166
112;609,1206625
113;618,8749181
114;633,6622318
115;641,5311699
116;654,6025123
117;666,786635
118;672,7823567
119;671,902499
120;667,990475
121;672,8757856
122;687,1086197
123;693,1330625
124;704,646868
125;725,1632737
126;762,6301758
127;784,2320202
128;786,5815662
129;736,8749219
130;698,1763779
131;654,6360744
132;623,0760485
133;603,6746152
134;593,1122292
135;601,5685601
136;617,2496655
137;630,0443708
138;648,1796095
139;659,6441977
140;673,6792848
141;689,4730439
142;699,2750178
143;699,5283887
144;696,5308989
145;704,9858012
146;720,1607986
147;729,7770158
148;742,2507954
149;766,3732766
150;804,8116363
151;834,6754089
152;844,960655
153;815,3898589
154;780,1789028
155;712,1824779
156;674,642427
157;664,4465298
158;669,4235868
159;681,8932815
160;675,1375656
161;679,6230443
162;690,579814
163;697,2932847
164;703,7670213
165;714,5022761
166;716,4961084
167;711,4928235
168;700,528085
169;700,7670646
170;704,6942664
171;705,3862908
172;708,8727808
173;723,9571537
174;756,1479764
175;777,2461804
176;787,1667952
177;756,8102592
178;723,7074224
179;664,4733934
180;626,4965113
181;611,9973166
182;610,7707251
183;615,7230922
184;597,9414
185;607,9766807
186;623,2587014
187;638,0788694
188;656,603725
189;674,9714416
190;687,7402608
191;691,2780179
192;708,8105946
193;737,2501796
194;779,5707006
195;806,907803
196;834,4191463
197;876,1841436
198;929,5975361
199;971,3909238
200;993,0870022
201;980,5443459
202;948,0830531
203;890,1192102
204;838,7138715
205;817,0947494
206;808,6867539
207;815,3486021
208;821,7544535
209;841,3559926
210;865,2593121
211;885,1051563
212;910,5228322
213;935,3506724
214;951,3980117
215;963,2475714
216;960,9611432
217;963,4337551
218;973,9339134
219;980,823849
220;987,3739581
221;1007,762544
222;1042,2957
223;1068,115948
224;1077,07748
225;1070,734998
226;1058,547787
227;1027,971561
228;1008,17367
229;963,2592949
230;949,0663114
231;942,0564256
232;925,7129679
233;933,0071871
234;948,0192055
235;959,7929088
236;977,8001935
237;995,752259
238;1005,355755
239;1008,278955
240;1013,990735
241;1029,320154
242;1054,658888
243;1069,491665
244;1087,066669
245;1119,029033
246;1162,747467
247;1194,932615
248;1209,921804
249;1173,476527
250;1126,113379
251;1065,271885
252;1022,848279
253;1011,026256
254;1021,648623
255;1038,349894
256;1033,365979
257;1047,70552
258;1066,463577
259;1081,259577
260;1101,70539
261;1121,625092
262;1132,816357
263;1139,852377
264;1138,450157
265;1145,359745
266;1161,225355
267;1171,398373
268;1181,489593
269;1205,627634
270;1244,078479
271;1266,474137
272;1272,295648
273;1253,126084
274;1239,724933
275;1212,567335
276;1190,19021
277;1170,117624
278;1150,194977
279;1145,694657
280;1155,688505
281;1164,371734
282;1178,296296
283;1188,301715
284;1198,32806
285;1209,994033
286;1215,57222
287;1211,524381
288;1204,163234
289;1205,372608
290;1212,915006
291;1217,417924
292;1222,04151
293;1240,875142
294;1274,153174
295;1294,313625
296;1289,837414
297;1225,880757
298;1188,595578
299;1140,906655
300;1097,553505
301;1061,363243
302;1046,437071
303;1057,579294
304;1074,711525
305;1089,510912
306;1110,157505
307;1124,542023
308;1141,826531
309;1161,135441
310;1174,66689
311;1178,822605
312;1185,529909
313;1204,494979
314;1233,661256
315;1252,476185
316;1274,15792
317;1310,327404
318;1358,333858
319;1394,872224
320;1417,098681
321;1409,980575
322;1401,042982
323;1358,404869
324;1329,952021
325;1305,650316
326;1303,001502
327;1307,177116
328;1303,051292
329;1288,790754
330;1278,371116
331;1261,586135
332;1245,68088
333;1227,339236
334;1201,55963
335;1167,896485
336;1133,219556
337;1104,198919
338;1083,929547
339;1066,296744
340;1055,150944
341;1053,812286
342;1072,904483
343;1081,648027
344;1079,814028
345;1014,46093
346;955,9613451
347;883,1237614
348;825,8435052
349;804,7432019
350;794,6766761
351;800,2946416
352;793,1322369
353;782,2724246
354;777,2724795
355;767,5365319
356;759,9952938
357;753,9105102
358;735,9278695
359;713,1712447
360;701,2980515
361;696,9280382
362;705,6307795
363;704,3611387
364;706,2641447
365;725,7332419
366;757,5849865
367;781,2403954
368;791,2855499
369;781,0466966
370;767,6528571
371;736,1023197
372;712,6861589
373;710,9854427
374;718,4225931
375;722,6574206
376;698,6588148
377;704,1237787
378;713,9308177
379;722,5464545
380;734,2784119
381;748,2101993
382;753,6752799
383;752,3650527
384;745,2724746
385;752,3597452
386;769,2614834
387;781,1631805
388;787,8788192
389;808,3992136
390;845,8688239
391;872,1190744
392;887,089568
393;884,5498278
394;879,1548992
395;850,1820026
396;834,5085368
397;840,8417453
398;850,8846683
399;854,3902832
400;831,7414261
401;835,464077
402;848,6351592
403;855,1956915
404;867,207787
405;878,5343437
406;883,8357555
407;885,2252489
408;872,7099899
409;870,8038362
410;877,769443
411;881,8061134
412;888,8842964
413;904,9281653
414;940,7243462
415;962,7931618
416;970,6651686
417;957,7799843
418;947,0210742
419;912,8273471
420;877,8909447
421;866,1535576
422;862,6378881
423;860,9137469
424;840,0796639
425;844,1318508
426;858,4623193
427;869,6830822
428;884,4102576
429;904,483421
430;911,0271338
431;910,5868411
432;938,1739699
433;983,9625839
434;1042,809405
435;1085,115135
436;1128,276221
437;1183,40898
438;1250,287066
439;1300,976844
440;1323,659395
441;1308,399548
442;1313,549435
443;1310,553489
444;1296,313332
445;1281,531781
446;1276,005299
447;1279,218651
448;1301,644948
449;1316,941781
450;1333,375529
451;1344,516017
452;1357,399772
453;1371,374253
454;1375,986084
455;1370,267313
456;1340,845975
457;1311,447937
458;1288,194894
459;1268,307491
460;1250,725932
461;1247,179129
462;1260,766479
463;1261,468058
464;1243,382705
465;1186,301144
466;1130,547041
467;1104,717789
468;1090,684769
469;1014,080112
470;956,465437
