index;Wind_east;Wind_swest;Wind_north;Wind_middle
48;0;0;0;0
49;0;0;0;0
50;0;0;0;0
51;0;0;0;0
52;0;0;0;0
53;0;0;0;0
54;0;0;0;0
55;0;0;0;0
56;0;0;0;0
57;0,000622952;0,000868855;0,000622952;0,000868855
58;0,007486428;0,008043653;0,008043653;0,008043653
59;0,012131;0,01295725;0,012131;0,012131
60;0,012131;0,03786275;0,02142625;0,0187705
61;0,012131;0,02452475;0,012131;0,012131
62;0,002469958;0,00469958;0,00377053;0,00377053
63;0,009344225;0,01481425;0,0121585;0,01127325
64;0,04859575;0,09663475;0,06658925;0,0744745
65;0,19788;0,43325;0,303055;0,3338425
66;0,235225;0,40752;0,3102075;0,3732775
67;0,1063275;0,19933;0,12965675;0,1876375
68;0,08459;0,15705;0,0966665;0,15705
69;0,11236425;0,2471225;0,1910375;0,1961375
70;0,08459;0,226725;0,15705;0,15705
71;0,13048;0,25902;0,15705;0,2097325
72;0,15705;0,204635;0,15705;0,15705
73;0,15705;0,1876375;0,174045;0,174045
74;0,2165325;0,3374325;0,297105;0,3195075
75;0,3239875;0,52033;0,44918;0,44918
76;0,53929;0,86571;0,7382925;0,70731
77;0,3324575;0,50067;0,4299525;0,4054075
78;0,1134975;0,16676825;0,1390235;0,12965675
79;0,0601095;0,08459;0,0616395;0,0616395
80;0,038689;0,07234975;0,0669945;0,038689
81;0,038689;0,038689;0,038689;0,0223115
82;0,038689;0,038689;0,038689;0,0355905
83;0,038689;0,038995;0,038689;0,02186875
84;0,06668875;0,0896775;0,07280875;0,07051375
85;0,0323555;0,04046475;0,03521325;0,02603825
86;0,012131;0,012131;0,012131;0,012131
87;0,012131;0,012131;0,012131;0,012131
88;0,012131;0,01443275;0,01257375;0,012131
89;0,0355905;0,03860025;0,037361;0,03027875
90;0,038689;0,040117;0,038689;0,038689
91;0,038689;0,079796;0,05092925;0,047104
92;0,03426225;0,035011;0,038689;0,02054075
93;0,038689;0,038689;0,038689;0,0355905
94;0,038689;0,038689;0,038689;0,038689
95;0,044809;0,05117075;0,04710425;0,044809
96;0,15400775;0,22044;0,185045;0,182631
97;0,2747;0,45182;0,3710375;0,3777575
98;0,2012375;0,3019875;0,2733525;0,24635
99;0,1316885;0,16974;0,14222;0,1370125
100;0,262185;0,4143675;0,34098;0,3412925
101;0,25902;0,37328;0,2845575;0,32847
102;0,33519;0,44918;0,3794;0,3912
103;0,19104;0,238935;0,212215;0,213055
104;0,10270425;0,13772825;0,13772825;0,1087425
105;0,081224;0,07540975;0,07234975;0,0616395
106;0,038995;0,038689;0,038689;0,0355905
107;0,038689;0,038689;0,038689;0,012131
108;0,038689;0,038689;0,038689;0,01655725
109;0,0654645;0,07234975;0,0601095;0,0593445
110;0,05628425;0,08459;0,044809;0,044809
111;0,05322425;0,08459;0,05322425;0,05322425
112;0,132368;0,180885;0,162236;0,162236
113;0,2515425;0,362075;0,3329525;0,34639
114;0,29393;0,3732775;0,3575925;0,3613975
115;0,12061;0,14819275;0,14528325;0,124915
116;0,2264875;0,3069925;0,2386225;0,2892925
117;0,25902;0,3892575;0,25902;0,3575925
118;0,2097325;0,2632;0,25902;0,25902
119;0,294865;0,3144275;0,30773;0,2989625
120;0,554755;0,786535;0,684785;0,6640425
121;0,76721;0,94;0,76721;0,76721
122;0,76721;0,94;0,76721;0,76721
123;0,6398375;0,8334475;0,76721;0,7431125
124;0,56066;0,76721;0,76721;0,56066
125;0,56066;0,6673775;0,5882;0,56066
126;0,56066;0,76721;0,7431125;0,56066
127;0,56066;0,7520625;0,7520625;0,56066
128;0,5044725;0,52023;0,52023;0,480385
129;0,2349775;0,2610275;0,2814225;0,213055
130;0,2769425;0,26126;0,259915;0,22163
131;0,42967;0,428525;0,4393225;0,3826775
132;0,6742625;0,81918;0,79207;0,6874725
133;0,850725;0,9838;0,9473;0,93136
134;0,94;0,99475;0,990735;0,9591625
135;0,7857475;0,927015;0,8891125;0,8381475
136;0,38781;0,394935;0,400145;0,35552
137;0,11433;0,07898225;0,08846;0,0674745
138;0,05628425;0,038689;0,038689;0,0355905
139;0,03249175;0,01788525;0,02054075;0,012131
140;0,03839375;0,012131;0,01965575;0,012131
141;0,013754;0,00469958;0,012131;0,00469958
142;0,01131355;0,00098361;0,009344225;0,00098361
143;0,001057933;0,00098361;0,00098361;0,00098361
144;0,00098361;0,000786888;0,00098361;0,000786888
145;0,000491803;0;0,000131148;0
146;0,000868855;0;0;0
147;0,00098361;0,000622952;0,000868855;0,000622952
148;0,00098361;0,00098361;0,00098361;0,00098361
149;0,00098361;0,00037705;0,000868855;0,00037705
150;0,000508198;0;0;0
151;0,00098361;0,000622952;0,000622952;0,000622952
152;0,00098361;0,000131148;0,000131148;0,000131148
153;0,00098361;0;0;0
154;0,00098361;0,000868855;0,000868855;0,000868855
155;0,00098361;0,00098361;0,00098361;0,00098361
156;0,00098361;0,000655737;0,000737707;0,000655737
157;0,00098361;0,00098361;0,00098361;0,00098361
158;0,007858;0,008043725;0,008043725;0,008043725
159;0,00098361;0,00098361;0,00098361;0,00098361
160;0,00098361;0,00098361;0,00098361;0,00098361
161;0,008043653;0,008043653;0,008043653;0,008043653
162;0,012131;0,01295725;0,012131;0,012131
163;0,012131;0,03786275;0,0320495;0,0223115
164;0,012131;0,038689;0,015672;0,012131
165;0,028951;0,038689;0,0355905;0,0355905
166;0,015672;0,038689;0,038689;0,038689
167;0,03027875;0,038689;0,03786275;0,03337725
168;0,012131;0,02452475;0,01295725;0,012131
169;0,012131;0,0355905;0,012131;0,012131
170;0,02186875;0,038689;0,03364275;0,031164
171;0,01131355;0,012885225;0,01196125;0,009344225
172;0,001057933;0,000953007;0,001330433;0,000953007
173;0,0002459;3,06E-05;0,0002459;3,06E-05
174;0;0;0;0
175;0;0;0;0
176;0,000131148;0,000131148;3,06E-05;0,000131148
177;0,00098361;0,001057932;0,001138805;0,001057932
178;0,0100874;0,0228218;0,0138754;0,0121398
179;0,0355905;0,05322425;0,03936525;0,04250375
180;0,07983725;0,1544955;0,1019585;0,1347015
181;0,1885325;0,410055;0,281545;0,353
182;0,11764025;0,23668;0,158389;0,2057275
183;0,03832775;0,06618875;0,044809;0,05253975
184;0,06852475;0,13048;0,10942625;0,1197335
185;0,1027035;0,2471225;0,15705;0,1825425
186;0,08459;0,170645;0,1087425;0,151735
187;0,07005475;0,10270425;0,08459;0,085073
188;0,09425;0,14079;0,1042535;0,1068205
189;0,2326075;0,4422375;0,31515;0,3775225
190;0,3892575;0,6260675;0,5077075;0,562035
191;0,5372475;0,8977625;0,7382925;0,74862
192;0,40013;0,624545;0,5466225;0,551475
193;0,471475;0,7431125;0,6811475;0,6536075
194;0,56066;0,76721;0,76721;0,7431125
195;0,518855;0,7520625;0,5882;0,56066
196;0,3880625;0,534165;0,47705;0,482625
197;0,262155;0,37776;0,2903825;0,3396725
198;0,3777575;0,53279;0,480385;0,502135
199;0,3892575;0,518855;0,518855;0,469235
200;0,23091;0,271225;0,2814225;0,235145
201;0,3172675;0,362075;0,3374325;0,34639
202;0,39344;0,54115;0,435245;0,42967
203;0,42131;0,5554575;0,5461675;0,53279
204;0,27115;0,31615;0,300305;0,26203
205;0,15705;0,15943;0,15943;0,1210615
206;0,15705;0,15705;0,15705;0,1568075
207;0,112365;0,112365;0,1087425;0,09425
208;0,1355775;0,14079;0,142375;0,1068205
209;0,359185;0,4422375;0,4378675;0,3914575
210;0,5601025;0,7431125;0,7018;0,60197
211;0,54115;0,663935;0,5882;0,56066
212;0,39344;0,56066;0,56066;0,471475
213;0,3880625;0,4126;0,4570925;0,3798475
214;0,262155;0,2423;0,27067;0,2047825
215;0,25902;0,25902;0,25902;0,2097325
216;0,267235;0,2485375;0,262155;0,18818
217;0,4876325;0,5581125;0,479475;0,4851925
218;0,325505;0,32992;0,300305;0,2706125
219;0,1658875;0,15943;0,15943;0,1210615
220;0,175745;0,18594;0,206335;0,165645
221;0,28142;0,25902;0,25902;0,25868
222;0,2515425;0,2114325;0,2318275;0,19104
223;0,15773;0,15705;0,15705;0,1087425
224;0,186835;0,18174;0,18609;0,16389
225;0,5121075;0,5688975;0,5318175;0,49
226;0,8639725;0,976405;0,896805;0,9051575
227;0,7712425;0,9504025;0,9112025;0,8346
228;0,8986675;0,9923975;0,9722;0,9625725
229;0,99763;1;0,9999125;0,9993875
230;1;1;1;1
231;1;1;1;1
232;1;1;1;1
233;1;1;1;1
