id;pv_rooftop
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0,020438331
10;0,048720138
11;0,083127509
12;0,075677965
13;0,065322572
14;0,069351703
15;0,032538002
16;7,78E-05
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
25;0
26;0
27;0
28;0
29;0
30;0
31;0
32;0
33;0,013596563
34;0,036077728
35;0,054812112
36;0,060035799
37;0,051207734
38;0,035982375
39;0,013189629
40;7,49E-05
41;0
42;0
43;0
44;0
45;0
46;0
47;0
48;0
49;0
50;0
51;0
52;0
53;0
54;0
55;0
56;0
57;0,03301385
58;0,057777434
59;0,049608892
60;0,050660179
61;0,03913142
62;0,026631797
63;0,006222939
64;0
65;0
66;0
67;0
68;0
69;0
70;0
71;0
72;0
73;0
74;0
75;0
76;0
77;0
78;0
79;0
80;0
81;0,030488282
82;0,061653423
83;0,091831085
84;0,109185505
85;0,092283289
86;0,089548642
87;0,0280258
88;0,000132227
89;0
90;0
91;0
92;0
93;0
94;0
95;0
96;0
97;0
98;0
99;0
100;0
101;0
102;0
103;0
104;0
105;0,15435135
106;0,267777158
107;0,337153421
108;0,37241704
109;0,338516289
110;0,249860013
111;0,105477347
112;0,000153125
113;0
114;0
115;0
116;0
117;0
118;0
119;0
120;0
121;0
122;0
123;0
124;0
125;0
126;0
127;0
128;0
129;0,009215398
130;0,019347675
131;0,031220763
132;0,040886053
133;0,301267362
134;0,20218129
135;0,093777146
136;0,000210428
137;0
138;0
139;0
140;0
141;0
142;0
143;0
144;0
145;0
146;0
147;0
148;0
149;0
150;0
151;0
152;0
153;0,002572742
154;0,008986697
155;0,016459646
156;0,015808551
157;0,313724605
158;0,243917329
159;0,116157805
160;0,000280062
161;0
162;0
163;0
164;0
165;0
166;0
167;0
168;0
169;0
170;0
171;0
172;0
173;0
174;0
175;0
176;0
177;0
178;0,00350563
179;0,0172216
180;0,02246614
181;0,350360723
182;0,244292961
183;0,113044157
184;0,000482061
185;0
186;0
187;0
188;0
189;0
190;0
191;0
192;0
193;0
194;0
195;0
196;0
197;0
198;0
199;0
200;0
201;0
202;0,014617535
203;0,046588911
204;0,056385431
205;0,256132579
206;0,252679658
207;0,095401271
208;0,001343574
209;0
210;0
211;0
212;0
213;0
214;0
215;0
216;0
217;0
218;0
219;0
220;0
221;0
222;0
223;0
224;0
225;0
226;0,003602678
227;0,016040576
228;0,022960071
229;0,351030119
230;0,324629961
231;0,158109111
232;0,000811899
233;0
234;0
235;0
236;0
237;0
238;0
239;0
240;0
241;0
242;0
243;0
244;0
245;0
246;0
247;0
248;0
249;0,111055645
250;0,200612065
251;0,2518995
252;0,297314321
253;0,249599961
254;0,12620908
255;0,036604334
256;0,00035405
257;0
258;0
259;0
260;0
261;0
262;0
263;0
264;0
265;0
266;0
267;0
268;0
269;0
270;0
271;0
272;0
273;0,066379638
274;0,114481429
275;0,216215463
276;0,210850192
277;0,184827592
278;0,102448697
279;0,059635607
280;0,000503385
281;0
282;0
283;0
284;0
285;0
286;0
287;0
288;0
289;0
290;0
291;0
292;0
293;0
294;0
295;0
296;0
297;0,124918449
298;0,202644809
299;0,246284289
300;0,247729026
301;0,238959474
302;0,195366947
303;0,111868382
304;0,000597736
305;0
306;0
307;0
308;0
309;0
310;0
311;0
312;0
313;0
314;0
315;0
316;0
317;0
318;0
319;0
320;0
321;0,021144205
322;0,04970593
323;0,072521937
324;0,08058405
325;0,074762002
326;0,053534242
327;0,022374567
328;0,000426867
329;0
330;0
331;0
332;0
333;0
334;0
335;0
336;0
337;0
338;0
339;0
340;0
341;0
342;0
343;0
344;0
345;0,011588764
346;0,032004292
347;0,043319471
348;0,057751429
349;0,048767574
350;0,032704026
351;0,014717269
352;0,00039869
353;0
354;0
355;0
356;0
357;0
358;0
359;0
360;0
361;0
362;0
363;0
364;0
365;0
366;0
367;0
368;0
369;0
370;0,002778256
371;0,007400207
372;0,010227075
373;0,354369868
374;0,204179842
375;0,084229603
376;0,001860701
377;0
378;0
379;0
380;0
381;0
382;0
383;0
384;0
385;0
386;0
387;0
388;0
389;0
390;0
391;0
392;0
393;0,003180684
394;0,021323088
395;0,031229311
396;0,051758179
397;0,421121527
398;0,305364395
399;0,15332968
