id;pv_rooftop
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0,075171536
10;0,045370275
11;0,125250497
12;0,206898355
13;0,195200562
14;0,340782118
15;0,057902644
16;0,000132179
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
25;0
26;0
27;0
28;0
29;0
30;0
31;0
32;0
33;0,010929892
34;0,026022119
35;0,031995142
36;0,038430963
37;0,046071695
38;0,030802994
39;0,01032474
40;7,15E-05
41;0
42;0
43;0
44;0
45;0
46;0
47;0
48;0
49;0
50;0
51;0
52;0
53;0
54;0
55;0
56;0
57;0,21797732
58;0,355320987
59;0,339917684
60;0,187671557
61;0,126013559
62;0,100224044
63;0,038601466
64;0,000659234
65;0
66;0
67;0
68;0
69;0
70;0
71;0
72;0
73;0
74;0
75;0
76;0
77;0
78;0
79;0
80;0
81;0,191997099
82;0,322684382
83;0,43371
84;0,434025435
85;0,375121106
86;0,325581079
87;0,130687042
88;0,000521406
89;0
90;0
91;0
92;0
93;0
94;0
95;0
96;0
97;0
98;0
99;0
100;0
101;0
102;0
103;0
104;0
105;0,008218915
106;0,0278526
107;0,037580736
108;0,044315376
109;0,037580254
110;0,026526813
111;0,010086141
112;8,82E-05
113;0
114;0
115;0
116;0
117;0
118;0
119;0
120;0
121;0
122;0
123;0
124;0
125;0
126;0
127;0
128;0
129;0,105541397
130;0,200924369
131;0,277594145
132;0,323392784
133;0,273585
134;0,163992079
135;0,10127533
136;0,000306934
137;0
138;0
139;0
140;0
141;0
142;0
143;0
144;0
145;0
146;0
147;0
148;0
149;0
150;0
151;0
152;0
153;0,039347408
154;0,085247901
155;0,123393288
156;0,136024141
157;0,139767695
158;0,110616276
159;0,038346205
160;0,000286715
161;0
162;0
163;0
164;0
165;0
166;0
167;0
168;0
169;0
170;0
171;0
172;0
173;0
174;0
175;0
176;0
177;0,011499239
178;0,034235207
179;0,0451278
180;0,062304277
181;0,050928178
182;0,032740867
183;0,01317653
184;0,000137968
185;0
186;0
187;0
188;0
189;0
190;0
191;0
192;0
193;0
194;0
195;0
196;0
197;0
198;0
199;0
200;0
201;0
202;0,002398502
203;0,006716052
204;0,008943258
205;0,281954842
206;0,170787158
207;0,070242865
208;0,000700818
209;0
210;0
211;0
212;0
213;0
214;0
215;0
216;0
217;0
218;0
219;0
220;0
221;0
222;0
223;0
224;0
225;0,004803509
226;0,020594724
227;0,03291857
228;0,045639959
229;0,412888934
230;0,292193211
231;0,154557948
232;0,000458995
233;0
234;0
235;0
236;0
237;0
238;0
239;0
240;0
241;0
242;0
243;0
244;0
245;0
246;0
247;0
248;0
249;0,161584184
250;0,276876592
251;0,444523855
252;0,378121342
253;0,199233063
254;0,18737996
255;0,120788187
256;0,000943127
257;0
258;0
259;0
260;0
261;0
262;0
263;0
264;0
265;0
266;0
267;0
268;0
269;0
270;0
271;0
272;0
273;0,217984303
274;0,371292553
275;0,463519737
276;0,450772342
277;0,404285526
278;0,313156343
279;0,149426724
280;0,00071057
281;0
282;0
283;0
284;0
285;0
286;0
287;0
288;0
289;0
290;0
291;0
292;0
293;0
294;0
295;0
296;0
297;0,112279168
298;0,228335842
299;0,291116882
300;0,271271013
301;0,282604733
302;0,206215236
303;0,055107561
304;0,000641832
305;0
306;0
307;0
308;0
309;0
310;0
311;0
312;0
313;0
314;0
315;0
316;0
317;0
318;0
319;0
320;0
321;0
322;0,007856527
323;0,018556922
324;0,022323352
325;0,020579073
326;0,013607254
327;0,004046063
328;0
329;0
330;0
331;0
332;0
333;0
334;0
335;0
336;0
337;0
338;0
339;0
340;0
341;0
342;0
343;0
344;0
345;0,005355062
346;0,019025739
347;0,027962641
348;0,0355569
349;0,033401593
350;0,022807338
351;0,008645522
352;0,000256713
353;0
354;0
355;0
356;0
357;0
358;0
359;0
360;0
361;0
362;0
363;0
364;0
365;0
366;0
367;0
368;0
369;0,001868714
370;0,009626354
371;0,016350087
372;0,019033926
373;0,017899567
374;0,011746337
375;0,003387744
376;0
377;0
378;0
379;0
380;0
381;0
382;0
383;0
384;0
385;0
386;0
387;0
388;0
389;0
390;0
391;0
392;0
393;0,049138799
394;0,17224875
395;0,294855379
396;0,379857434
397;0,389479382
398;0,44286
399;0,21631804
