id;pv_openfield
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0,01925825
10;0,04328
11;0,06803325
12;0,0643825
13;0,0434795
14;0,02461425
15;0,007753075
16;6,70E-05
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
25;0
26;0
27;0
28;0
29;0
30;0
31;0
32;0
33;0,0126037
34;0,03178275
35;0,043579
36;0,03463425
37;0,03016475
38;0,0224395
39;0,00840545
40;0,00010315
41;0
42;0
43;0
44;0
45;0
46;0
47;0
48;0
49;0
50;0
51;0
52;0
53;0
54;0
55;0
56;0
57;0,007184875
58;0,020492
59;0,0355245
60;0,036523
61;0,03171675
62;0,026694
63;0,00977075
64;9,46E-05
65;0
66;0
67;0
68;0
69;0
70;0
71;0
72;0
73;0
74;0
75;0
76;0
77;0
78;0
79;0
80;0
81;0,021336375
82;0,04586125
83;0,0690155
84;0,078815
85;0,06714275
86;0,049398
87;0,01804305
88;0,000198125
89;0
90;0
91;0
92;0
93;0
94;0
95;0
96;0
97;0
98;0
99;0
100;0
101;0
102;0
103;0
104;0
105;0,11228625
106;0,22661
107;0,2952525
108;0,3485825
109;0,3059175
110;0,2284175
111;0,09264525
112;0,0002504
113;0
114;0
115;0
116;0
117;0
118;0
119;0
120;0
121;0
122;0
123;0
124;0
125;0
126;0
127;0
128;0
129;0,00638935
130;0,008917375
131;0,01685325
132;0,02610175
133;0,234075
134;0,1525285
135;0,081576225
136;0,0002921
137;0
138;0
139;0
140;0
141;0
142;0
143;0
144;0
145;0
146;0
147;0
148;0
149;0
150;0
151;0
152;0
153;0,01965505
154;0,0354815
155;0,05632675
156;0,06158125
157;0,048994
158;0,03141375
159;0,01218095
160;0,00027932
161;0
162;0
163;0
164;0
165;0
166;0
167;0
168;0
169;0
170;0
171;0
172;0
173;0
174;0
175;0
176;0
177;0,028702525
178;0,04372225
179;0,05295875
180;0,0447845
181;0,0555825
182;0,042508
183;0,01758215
184;0,00036695
185;0
186;0
187;0
188;0
189;0
190;0
191;0
192;0
193;0
194;0
195;0
196;0
197;0
198;0
199;0
200;0
201;0,0074514
202;0,02490325
203;0,051715
204;0,05993275
205;0,06218625
206;0,03583175
207;0,0188375
208;0,000383385
209;0
210;0
211;0
212;0
213;0
214;0
215;0
216;0
217;0
218;0
219;0
220;0
221;0
222;0
223;0
224;0
225;0,014234025
226;0,03582
227;0,053018
228;0,05875
229;0,05139725
230;0,036034
231;0,014719575
232;0,000334763
233;0
234;0
235;0
236;0
237;0
238;0
239;0
240;0
241;0
242;0
243;0
244;0
245;0
246;0
247;0
248;0
249;0,06802575
250;0,1699515
251;0,2081975
252;0,218585
253;0,18384
254;0,0984395
255;0,036619525
256;0,000574338
257;0
258;0
259;0
260;0
261;0
262;0
263;0
264;0
265;0
266;0
267;0
268;0
269;0
270;0
271;0
272;0
273;0,0375524
274;0,0658525
275;0,11031025
276;0,128533
277;0,09026425
278;0,1935495
279;0,07799475
280;0,003426025
281;0
282;0
283;0
284;0
285;0
286;0
287;0
288;0
289;0
290;0
291;0
292;0
293;0
294;0
295;0
296;0
297;0,0669315
298;0,150725
299;0,2172175
300;0,2538355
301;0,223677
302;0,14551625
303;0,07746525
304;0,00105342
305;0
306;0
307;0
308;0
309;0
310;0
311;0
312;0
313;0
314;0
315;0
316;0
317;0
318;0
319;0
320;0
321;0,01768115
322;0,03877975
323;0,05721425
324;0,062155
325;0,05644925
326;0,04047825
327;0,0181792
328;0,000549393
329;0
330;0
331;0
332;0
333;0
334;0
335;0
336;0
337;0
338;0
339;0
340;0
341;0
342;0
343;0
344;0
345;0,004962925
346;0,01879775
347;0,03094875
348;0,034502
349;0,031568
350;0,023415
351;0,008983125
352;0,000394878
353;0
354;0
355;0
356;0
357;0
358;0
359;0
360;0
361;0
362;0
363;0
364;0
365;0
366;0
367;0
368;0
369;0,01515235
370;0,03100225
371;0,04914025
372;0,0533015
373;0,05104225
374;0,038447
375;0,020236
376;0,000799415
377;0
378;0
379;0
380;0
381;0
382;0
383;0
384;0
385;0
386;0
387;0
388;0
389;0
390;0
391;0
392;0
393;0
394;0,0038221
395;0,01044795
396;0,013039175
397;0,3007425
398;0,2543675
399;0,10768525
400;0,00187289
401;0
402;0
