id;pv_openfield
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0,019958775
10;0,0481045
11;0,08203425
12;0,0748865
13;0,06497225
14;0,06802225
15;0,031575975
16;7,57E-05
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
25;0
26;0
27;0
28;0
29;0
30;0
31;0
32;0
33;0,013125125
34;0,03541125
35;0,0542555
36;0,05954875
37;0,05075475
38;0,0355635
39;0,012918725
40;7,08E-05
41;0
42;0
43;0
44;0
45;0
46;0
47;0
48;0
49;0
50;0
51;0
52;0
53;0
54;0
55;0
56;0
57;0,031250825
58;0,055945
59;0,0489735
60;0,0501465
61;0,0386655
62;0,02619725
63;0,00608835
64;0
65;0
66;0
67;0
68;0
69;0
70;0
71;0
72;0
73;0
74;0
75;0
76;0
77;0
78;0
79;0
80;0
81;0,029956
82;0,06070525
83;0,0900215
84;0,1066235
85;0,09023
86;0,08608425
87;0,026642825
88;0,000128768
89;0
90;0
91;0
92;0
93;0
94;0
95;0
96;0
97;0
98;0
99;0
100;0
101;0
102;0
103;0
104;0
105;0,10495795
106;0,20824
107;0,2883025
108;0,31904375
109;0,289725
110;0,2127525
111;0,08425125
112;0,000104918
113;0
114;0
115;0
116;0
117;0
118;0
119;0
120;0
121;0
122;0
123;0
124;0
125;0
126;0
127;0
128;0
129;0,008721975
130;0,018701
131;0,03053125
132;0,0402815
133;0,26909025
134;0,176035
135;0,07637975
136;0,00014634
137;0
138;0
139;0
140;0
141;0
142;0
143;0
144;0
145;0
146;0
147;0
148;0
149;0
150;0
151;0
152;0
153;0,002072615
154;0,00829395
155;0,01585375
156;0,015273
157;0,27701
158;0,21116
159;0,09416175
160;0,000193348
161;0
162;0
163;0
164;0
165;0
166;0
167;0
168;0
169;0
170;0
171;0
172;0
173;0
174;0
175;0
176;0
177;0
178;0,003176275
179;0,01653635
180;0,02187825
181;0,311665
182;0,2117175
183;0,093304825
184;0,000347075
185;0
186;0
187;0
188;0
189;0
190;0
191;0
192;0
193;0
194;0
195;0
196;0
197;0
198;0
199;0
200;0
201;0
202;0,0141236
203;0,0458495
204;0,055821
205;0,2349285
206;0,2206925
207;0,07876325
208;0,000982963
209;0
210;0
211;0
212;0
213;0
214;0
215;0
216;0
217;0
218;0
219;0
220;0
221;0
222;0
223;0
224;0
225;0
226;0,003226788
227;0,015320075
228;0,022356825
229;0,313405
230;0,2800275
231;0,120713
232;0,00053061
233;0
234;0
235;0
236;0
237;0
238;0
239;0
240;0
241;0
242;0
243;0
244;0
245;0
246;0
247;0
248;0
249;0,0888482
250;0,17606525
251;0,22491
252;0,2665185
253;0,2294525
254;0,11620425
255;0,0341015
256;0,000333148
257;0
258;0
259;0
260;0
261;0
262;0
263;0
264;0
265;0
266;0
267;0
268;0
269;0
270;0
271;0
272;0
273;0,0593665
274;0,10716475
275;0,20536925
276;0,1997075
277;0,1749555
278;0,09704125
279;0,05517125
280;0,000426765
281;0
282;0
283;0
284;0
285;0
286;0
287;0
288;0
289;0
290;0
291;0
292;0
293;0
294;0
295;0
296;0
297;0,09162125
298;0,17693325
299;0,22574
300;0,22916
301;0,2221575
302;0,17908725
303;0,0949675
304;0,0004366
305;0
306;0
307;0
308;0
309;0
310;0
311;0
312;0
313;0
314;0
315;0
316;0
317;0
318;0
319;0
320;0
321;0,02063025
322;0,04903025
323;0,0719905
324;0,080143
325;0,074365
326;0,053147
327;0,022077975
328;0,000415152
329;0
330;0
331;0
332;0
333;0
334;0
335;0
336;0
337;0
338;0
339;0
340;0
341;0
342;0
343;0
344;0
345;0,011077375
346;0,03124775
347;0,042698
348;0,057122
349;0,04825425
350;0,0322245
351;0,014358225
352;0,000378858
353;0
354;0
355;0
356;0
357;0
358;0
359;0
360;0
361;0
362;0
363;0
364;0
365;0
366;0
367;0
368;0
369;0
370;0,00243399
371;0,006796775
372;0,009687975
373;0,3174075
374;0,1815625
375;0,07254225
376;0,00148665
377;0
378;0
379;0
380;0
381;0
382;0
383;0
384;0
385;0
386;0
387;0
388;0
389;0
390;0
391;0
392;0
393;0,0027324
394;0,020598475
395;0,03060715
396;0,05109975
397;0,3753125
398;0,2647
399;0,1237095
400;0,000679575
401;0
402;0
403;0
404;0
405;0
