;PV_openfield_middle;PV_openfield_north;PV_openfield_swest;PV_openfield_east
208;0,000559553;0,000982963;0,000383385;0,000338
209;0;0;0;0
210;0;0;0;0
211;0;0;0;0
212;0;0;0;0
213;0;0;0;0
214;0;0;0;0
215;0;0;0;0
216;0;0;0;0
217;0;0;0;0
218;0;0;0;0
219;0;0;0;0
220;0;0;0;0
221;0;0;0;0
222;0;0;0;0
223;0;0;0;0
224;0;0;0;0
225;0,004274853;0;0,014234025;0,006919375
226;0,01984925;0,003226788;0,03582;0,02409715
227;0,03238125;0,015320075;0,053018;0,0349925
228;0,04512625;0,022356825;0,05875;0,04837625
229;0,3689425;0,313405;0,05139725;0,344095
230;0,2540575;0,2800275;0,036034;0,2347875
231;0,12047925;0,120713;0,014719575;0,11631975
232;0,0003186;0,00053061;0,000334763;0,000235478
233;0;0;0;0
234;0;0;0;0
235;0;0;0;0
236;0;0;0;0
237;0;0;0;0
238;0;0;0;0
239;0;0;0;0
240;0;0;0;0
241;0;0;0;0
242;0;0;0;0
243;0;0;0;0
244;0;0;0;0
245;0;0;0;0
246;0;0;0;0
247;0;0;0;0
248;0;0;0;0
249;0,11452575;0,0888482;0,06802575;0,12413825
250;0,226475;0,17606525;0,1699515;0,2315765
251;0,3855875;0,22491;0,2081975;0,4524075
252;0,33005;0,2665185;0,218585;0,34089
253;0,182004;0,2294525;0,18384;0,14839625
254;0,17185;0,11620425;0,0984395;0,18531575
255;0,1002385;0,0341015;0,036619525;0,090467
256;0,00068201;0,000333148;0,000574338;0,000341245
257;0;0;0;0
258;0;0;0;0
259;0;0;0;0
260;0;0;0;0
261;0;0;0;0
262;0;0;0;0
263;0;0;0;0
264;0;0;0;0
265;0;0;0;0
266;0;0;0;0
267;0;0;0;0
268;0;0;0;0
269;0;0;0;0
270;0;0;0;0
271;0;0;0;0
272;0;0;0;0
273;0,146885;0,0593665;0,0375524;0,17599625
274;0,2909025;0,10716475;0,0658525;0,3192325
275;0,39239;0,20536925;0,11031025;0,4168075
276;0,38158;0,1997075;0,128533;0,42954
277;0,3429025;0,1749555;0,09026425;0,36593
278;0,265968;0,09704125;0,1935495;0,2714075
279;0,11933225;0,05517125;0,07799475;0,11188375
280;0,000495625;0,000426765;0,003426025;0,000373918
281;0;0;0;0
282;0;0;0;0
283;0;0;0;0
284;0;0;0;0
285;0;0;0;0
286;0;0;0;0
287;0;0;0;0
288;0;0;0;0
289;0;0;0;0
290;0;0;0;0
291;0;0;0;0
292;0;0;0;0
293;0;0;0;0
294;0;0;0;0
295;0;0;0;0
296;0;0;0;0
297;0,09211525;0,09162125;0,0669315;0,11256225
298;0,2025765;0,17693325;0,150725;0,22365225
299;0,2693375;0,22574;0,2172175;0,27737825
300;0,25106;0,22916;0,2538355;0,264225
301;0,252583;0,2221575;0,223677;0,2595955
302;0,1826415;0,17908725;0,14551625;0,15255225
303;0,04951675;0,0949675;0,07746525;0,05046375
304;0,000565458;0,0004366;0,00105342;0,000394525
305;0;0;0;0
306;0;0;0;0
307;0;0;0;0
308;0;0;0;0
309;0;0;0;0
310;0;0;0;0
311;0;0;0;0
312;0;0;0;0
313;0;0;0;0
314;0;0;0;0
315;0;0;0;0
316;0;0;0;0
317;0;0;0;0
318;0;0;0;0
319;0;0;0;0
320;0;0;0;0
321;0;0,02063025;0,01768115;0
322;0,0074974;0,04903025;0,03877975;0,008699575
323;0,0179555;0,0719905;0,05721425;0,01851875
324;0,021788;0,080143;0,062155;0,0215915
325;0,020084;0,074365;0,05644925;0,01942775
326;0,0131645;0,053147;0,04047825;0,012198775
327;0,00386135;0,022077975;0,0181792;0,003450345
328;0;0,000415152;0,000549393;0
329;0;0;0;0
330;0;0;0;0
331;0;0;0;0
332;0;0;0;0
333;0;0;0;0
334;0;0;0;0
335;0;0;0;0
336;0;0;0;0
337;0;0;0;0
338;0;0;0;0
339;0;0;0;0
340;0;0;0;0
341;0;0;0;0
342;0;0;0;0
343;0;0;0;0
344;0;0;0;0
345;0,004865925;0,011077375;0,004962925;0,00693135
346;0,0183275;0,03124775;0,01879775;0,0215835
347;0,02738875;0,042698;0,03094875;0,03175375
348;0,034994;0,057122;0,034502;0,0353345
349;0,03291375;0,04825425;0,031568;0,029782
350;0,02236825;0,0322245;0,023415;0,0186795
351;0,008298775;0,014358225;0,008983125;0,0070026
352;0,000223843;0,000378858;0,000394878;0,000138808
353;0;0;0;0
354;0;0;0;0
355;0;0;0;0
356;0;0;0;0
357;0;0;0;0
358;0;0;0;0
359;0;0;0;0
360;0;0;0;0
361;0;0;0;0
362;0;0;0;0
363;0;0;0;0
364;0;0;0;0
365;0;0;0;0
366;0;0;0;0
367;0;0;0;0
368;0;0;0;0
369;0;0;0,01515235;0
370;0,00766125;0,00243399;0,03100225;0,0091356
371;0,015781;0,006796775;0,04914025;0,0172415
372;0,01849725;0,009687975;0,0533015;0,0199615
373;0,01739275;0,3174075;0,05104225;0,01832575
374;0,011299575;0,1815625;0,038447;0,01145845
375;0,00320397;0,07254225;0,020236;0,002990478
376;0;0,00148665;0,000799415;0
377;0;0;0;0
378;0;0;0;0
379;0;0;0;0
380;0;0;0;0
381;0;0;0;0
382;0;0;0;0
383;0;0;0;0
384;0;0;0;0
385;0;0;0;0
386;0;0;0;0
387;0;0;0;0
388;0;0;0;0
389;0;0;0;0
390;0;0;0;0
391;0;0;0;0
392;0;0;0;0
393;0,04861195;0,0027324;0;0,1433825
394;0,162853;0,020598475;0,0038221;0,26852
395;0,2718035;0,03060715;0,01044795;0,31395
396;0,337345;0,05109975;0,013039175;0,3068725
397;0,33975;0,3753125;0,3007425;0,31679925
398;0,381095;0,2647;0,2543675;0,2134075
399;0,16393;0,1237095;0,10768525;0,07933675
400;0,005693325;0,000679575;0,00187289;0,000688087
401;0;0;0;0
402;0;0;0;0
403;0;0;0;0
404;0;0;0;0
405;0;0;0;0
406;0;0;0;0
407;0;0;0;0
408;0;0;0;0
409;0;0;0;0
410;0;0;0;0
411;0;0;0;0
412;0;0;0;0
413;0;0;0;0
414;0;0;0;0
415;0;0;0;0
416;0;0;0;0
