id;pv_openfield
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0,06341
10;0,0381505
11;0,1067115
12;0,22631975
13;0,1879645
14;0,2877
15;0,04885475
16;8,49E-05
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
25;0
26;0
27;0
28;0
29;0
30;0
31;0
32;0
33;0,013554575
34;0,02874125
35;0,03401025
36;0,03987275
37;0,047609
38;0,03083825
39;0,0093817
40;3,56E-05
41;0
42;0
43;0
44;0
45;0
46;0
47;0
48;0
49;0
50;0
51;0
52;0
53;0
54;0
55;0
56;0
57;0,16568825
58;0,29388
59;0,30727
60;0,12355375
61;0,11392075
62;0,10390025
63;0,042228875
64;0,00029455
65;0
66;0
67;0
68;0
69;0
70;0
71;0
72;0
73;0
74;0
75;0
76;0
77;0
78;0
79;0
80;0
81;0,1420605
82;0,2855075
83;0,3823725
84;0,366135
85;0,3248425
86;0,2718925
87;0,08232675
88;0,000166215
89;0
90;0
91;0
92;0
93;0
94;0
95;0
96;0
97;0
98;0
99;0
100;0
101;0
102;0
103;0
104;0
105;0,0104708
106;0,03038875
107;0,039188
108;0,04694625
109;0,03772
110;0,0259755
111;0,009112
112;5,71E-05
113;0
114;0
115;0
116;0
117;0
118;0
119;0
120;0
121;0
122;0
123;0
124;0
125;0
126;0
127;0
128;0
129;0,09251225
130;0,20474475
131;0,27713075
132;0,277385
133;0,2358375
134;0,14701825
135;0,07562675
136;0,000149423
137;0
138;0
139;0
140;0
141;0
142;0
143;0
144;0
145;0
146;0
147;0
148;0
149;0
150;0
151;0
152;0
153;0,0494555
154;0,095109
155;0,13789075
156;0,14638575
157;0,16377925
158;0,12976175
159;0,038382
160;0,000159798
161;0
162;0
163;0
164;0
165;0
166;0
167;0
168;0
169;0
170;0
171;0
172;0
173;0
174;0
175;0
176;0
177;0,0133465
178;0,03611575
179;0,0468035
180;0,06292025
181;0,05079675
182;0,03187875
183;0,0121471
184;8,20E-05
185;0
186;0
187;0
188;0
189;0
190;0
191;0
192;0
193;0
194;0
195;0
196;0
197;0
198;0
199;0
200;0
201;0
202;0,002529805
203;0,00647925
204;0,008720625
205;0,27112
206;0,169194
207;0,0663667
208;0,000338
209;0
210;0
211;0
212;0
213;0
214;0
215;0
216;0
217;0
218;0
219;0
220;0
221;0
222;0
223;0
224;0
225;0,006919375
226;0,02409715
227;0,0349925
228;0,04837625
229;0,344095
230;0,2347875
231;0,11631975
232;0,000235478
233;0
234;0
235;0
236;0
237;0
238;0
239;0
240;0
241;0
242;0
243;0
244;0
245;0
246;0
247;0
248;0
249;0,12413825
250;0,2315765
251;0,4524075
252;0,34089
253;0,14839625
254;0,18531575
255;0,090467
256;0,000341245
257;0
258;0
259;0
260;0
261;0
262;0
263;0
264;0
265;0
266;0
267;0
268;0
269;0
270;0
271;0
272;0
273;0,17599625
274;0,3192325
275;0,4168075
276;0,42954
277;0,36593
278;0,2714075
279;0,11188375
280;0,000373918
281;0
282;0
283;0
284;0
285;0
286;0
287;0
288;0
289;0
290;0
291;0
292;0
293;0
294;0
295;0
296;0
297;0,11256225
298;0,22365225
299;0,27737825
300;0,264225
301;0,2595955
302;0,15255225
303;0,05046375
304;0,000394525
305;0
306;0
307;0
308;0
309;0
310;0
311;0
312;0
313;0
314;0
315;0
316;0
317;0
318;0
319;0
320;0
321;0
322;0,008699575
323;0,01851875
324;0,0215915
325;0,01942775
326;0,012198775
327;0,003450345
328;0
329;0
330;0
331;0
332;0
333;0
334;0
335;0
336;0
337;0
338;0
339;0
340;0
341;0
342;0
343;0
344;0
345;0,00693135
346;0,0215835
347;0,03175375
348;0,0353345
349;0,029782
350;0,0186795
351;0,0070026
352;0,000138808
353;0
354;0
355;0
356;0
357;0
358;0
359;0
360;0
361;0
362;0
363;0
364;0
365;0
366;0
367;0
368;0
369;0
370;0,0091356
371;0,0172415
372;0,0199615
373;0,01832575
374;0,01145845
375;0,002990478
376;0
377;0
378;0
379;0
380;0
381;0
382;0
383;0
384;0
385;0
386;0
387;0
388;0
389;0
390;0
391;0
392;0
393;0,1433825
394;0,26852
395;0,31395
396;0,3068725
397;0,31679925
398;0,2134075
399;0,07933675
400;0,000688087
401;0
402;0
403;0
404;0
405;0
