id;wind
0;0,03417525
1;0,02629525
2;0,012131
3;0,02673775
4;0,02142625
5;0,038689
6;0,02319675
7;0,038689
8;0,04633925
9;0,1743525
10;0,148595
11;0,08684425
12;0,154795
13;0,2192525
14;0,1665675
15;0,32141
16;0,206335
17;0,2301275
18;0,15705
19;0,15705
20;0,1497225
21;0,06478
22;0,0355905
23;0,012131
24;0,0209835
25;0,10976625
26;0,2703425
27;0,25902
28;0,352215
29;0,262155
30;0,2752425
31;0,1186705
32;0,1027035
33;0,08459
34;0,099082
35;0,07846975
36;0,131688
37;0,202935
38;0,1068105
39;0,151735
40;0,112365
41;0,107533
42;0,05475425
43;0,0209835
44;0,01178425
45;0,001330433
46;0,000737705
47;0
48;0
49;0
50;0
51;0
52;0
53;0
54;0
55;0
56;0
57;0,000622952
58;0,007486428
59;0,012131
60;0,012131
61;0,012131
62;0,002469958
63;0,009344225
64;0,04859575
65;0,19788
66;0,235225
67;0,1063275
68;0,08459
69;0,11236425
70;0,08459
71;0,13048
72;0,15705
73;0,15705
74;0,2165325
75;0,3239875
76;0,53929
77;0,3324575
78;0,1134975
79;0,0601095
80;0,038689
81;0,038689
82;0,038689
83;0,038689
84;0,06668875
85;0,0323555
86;0,012131
87;0,012131
88;0,012131
89;0,0355905
90;0,038689
91;0,038689
92;0,03426225
93;0,038689
94;0,038689
95;0,044809
96;0,15400775
97;0,2747
98;0,2012375
99;0,1316885
100;0,262185
101;0,25902
102;0,33519
103;0,19104
104;0,10270425
105;0,081224
106;0,038995
107;0,038689
108;0,038689
109;0,0654645
110;0,05628425
111;0,05322425
112;0,132368
113;0,2515425
114;0,29393
115;0,12061
116;0,2264875
117;0,25902
118;0,2097325
119;0,294865
120;0,554755
121;0,76721
122;0,76721
123;0,6398375
124;0,56066
125;0,56066
126;0,56066
127;0,56066
128;0,5044725
129;0,2349775
130;0,2769425
131;0,42967
132;0,6742625
133;0,850725
134;0,94
135;0,7857475
136;0,38781
137;0,11433
138;0,05628425
139;0,03249175
140;0,03839375
141;0,013754
142;0,01131355
143;0,001057933
144;0,00098361
145;0,000491803
146;0,000868855
147;0,00098361
148;0,00098361
149;0,00098361
150;0,000508198
151;0,00098361
152;0,00098361
153;0,00098361
154;0,00098361
155;0,00098361
156;0,00098361
157;0,00098361
158;0,007858
159;0,00098361
160;0,00098361
161;0,008043653
162;0,012131
163;0,012131
164;0,012131
165;0,028951
166;0,015672
167;0,03027875
168;0,012131
169;0,012131
170;0,02186875
171;0,01131355
172;0,001057933
173;0,0002459
174;0
175;0
176;0,000131148
177;0,00098361
178;0,0100874
179;0,0355905
180;0,07983725
181;0,1885325
182;0,11764025
183;0,03832775
184;0,06852475
185;0,1027035
186;0,08459
187;0,07005475
188;0,09425
189;0,2326075
190;0,3892575
191;0,5372475
192;0,40013
193;0,471475
194;0,56066
195;0,518855
196;0,3880625
197;0,262155
198;0,3777575
199;0,3892575
200;0,23091
201;0,3172675
202;0,39344
203;0,42131
204;0,27115
205;0,15705
206;0,15705
207;0,112365
208;0,1355775
209;0,359185
210;0,5601025
211;0,54115
212;0,39344
213;0,3880625
214;0,262155
215;0,25902
216;0,267235
217;0,4876325
218;0,325505
219;0,1658875
220;0,175745
221;0,28142
222;0,2515425
223;0,15773
224;0,186835
225;0,5121075
