id;pv_rooftop
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0,019772958
10;0,043988384
11;0,068641374
12;0,06487639
13;0,04394745
14;0,025051496
15;0,008038516
16;7,84E-05
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
25;0
26;0
27;0
28;0
29;0
30;0
31;0
32;0
33;0,013136486
34;0,032535233
35;0,044245066
36;0,035181991
37;0,030753873
38;0,022961203
39;0,008734036
40;0,000116244
41;0
42;0
43;0
44;0
45;0
46;0
47;0
48;0
49;0
50;0
51;0
52;0
53;0
54;0
55;0
56;0
57;0,007705408
58;0,021214757
59;0,036221961
60;0,037141054
61;0,032292276
62;0,027244606
63;0,010086888
64;0,00010458
65;0
66;0
67;0
68;0
69;0
70;0
71;0
72;0
73;0
74;0
75;0
76;0
77;0
78;0
79;0
80;0
81;0,021877723
82;0,04658867
83;0,069656783
84;0,079383474
85;0,067634874
86;0,049866055
87;0,018332097
88;0,000205497
89;0
90;0
91;0
92;0
93;0
94;0
95;0
96;0
97;0
98;0
99;0
100;0
101;0
102;0
103;0
104;0
105;0,163935494
106;0,290548618
107;0,344049632
108;0,406394842
109;0,358304369
110;0,268603066
111;0,118620841
112;0,000364218
113;0
114;0
115;0
116;0
117;0
118;0
119;0
120;0
121;0
122;0
123;0
124;0
125;0
126;0
127;0
128;0
129;0,006904566
130;0,009525632
131;0,017521046
132;0,026771215
133;0,257914421
134;0,169554557
135;0,095512299
136;0,000393932
137;0
138;0
139;0
140;0
141;0
142;0
143;0
144;0
145;0
146;0
147;0
148;0
149;0
150;0
151;0
152;0
153;0,020181914
154;0,036188491
155;0,057023522
156;0,062188457
157;0,049538582
158;0,031916645
159;0,012526543
160;0,00029797
161;0
162;0
163;0
164;0
165;0
166;0
167;0
168;0
169;0
170;0
171;0
172;0
173;0
174;0
175;0
176;0
177;0,029234491
178;0,044400375
179;0,053620927
180;0,045373646
181;0,056282372
182;0,043034135
183;0,017901132
184;0,000382247
185;0
186;0
187;0
188;0
189;0
190;0
191;0
192;0
193;0
194;0
195;0
196;0
197;0
198;0
199;0
200;0
201;0,007973214
202;0,025723058
203;0,052482474
204;0,06058841
205;0,062808489
206;0,036269396
207;0,019265325
208;0,000395706
209;0
210;0
211;0
212;0
213;0
214;0
215;0
216;0
217;0
218;0
219;0
220;0
221;0
222;0
223;0
224;0
225;0,014771519
226;0,036578329
227;0,053738432
228;0,059397707
229;0,051987892
230;0,036557139
231;0,015079441
232;0,000351447
233;0
234;0
235;0
236;0
237;0
238;0
239;0
240;0
241;0
242;0
243;0
244;0
245;0
246;0
247;0
248;0
249;0,078764163
250;0,188440157
251;0,222304066
252;0,232589388
253;0,195660711
254;0,10420309
255;0,038255355
256;0,000585761
257;0
258;0
259;0
260;0
261;0
262;0
263;0
264;0
265;0
266;0
267;0
268;0
269;0
270;0
271;0
272;0
273;0,038184274
274;0,06667003
275;0,111066793
276;0,130523305
277;0,091690224
278;0,211165145
279;0,087668317
280;0,003993903
281;0
282;0
283;0
284;0
285;0
286;0
287;0
288;0
289;0
290;0
291;0
292;0
293;0
294;0
295;0
296;0
297;0,075635104
298;0,164834842
299;0,232768776
300;0,270406579
301;0,240243844
302;0,156759967
303;0,086441495
304;0,001272312
305;0
306;0
307;0
308;0
309;0
310;0
311;0
312;0
313;0
314;0
315;0
316;0
317;0
318;0
319;0
320;0
321;0,018243415
322;0,039572546
323;0,057929373
324;0,062806804
325;0,057048083
326;0,041018728
327;0,018547219
328;0,000571552
329;0
330;0
331;0
332;0
333;0
334;0
335;0
336;0
337;0
338;0
339;0
340;0
341;0
342;0
343;0
344;0
345;0,005481982
346;0,019584853
347;0,031671762
348;0,035178138
349;0,032193312
350;0,023969147
351;0,009348025
352;0,000442648
353;0
354;0
355;0
356;0
357;0
358;0
359;0
360;0
361;0
362;0
363;0
364;0
365;0
366;0
367;0
368;0
369;0,01569343
370;0,031748814
371;0,049899043
372;0,053971034
373;0,051683534
374;0,039002838
375;0,020668646
376;0,000825152
377;0
378;0
379;0
380;0
381;0
382;0
383;0
384;0
385;0
386;0
387;0
388;0
389;0
390;0
391;0
392;0
393;0
394;0,004149429
395;0,011048769
396;0,013606917
397;0,339881566
