id;pv_openfield
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0,06233255
10;0,039318
11;0,1232395
12;0,193835
13;0,17999325
14;0,306085
15;0,050074
16;0,000103188
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
25;0
26;0
27;0
28;0
29;0
30;0
31;0
32;0
33;0,0104263
34;0,02541175
35;0,03149425
36;0,037936
37;0,04562675
38;0,03046575
39;0,01007175
40;6,40E-05
41;0
42;0
43;0
44;0
45;0
46;0
47;0
48;0
49;0
50;0
51;0
52;0
53;0
54;0
55;0
56;0
57;0,143637
58;0,2735425
59;0,29830875
60;0,16827225
61;0,12054375
62;0,09545
63;0,036159825
64;0,00061065
65;0
66;0
67;0
68;0
69;0
70;0
71;0
72;0
73;0
74;0
75;0
76;0
77;0
78;0
79;0
80;0
81;0,1284215
82;0,252635
83;0,3672725
84;0,3696125
85;0,3217325
86;0,2777
87;0,1049014
88;0,000351825
89;0
90;0
91;0
92;0
93;0
94;0
95;0
96;0
97;0
98;0
99;0
100;0
101;0
102;0
103;0
104;0
105;0,007702525
106;0,0271685
107;0,0370835
108;0,04384825
109;0,0371755
110;0,02612
111;0,0097899
112;8,05E-05
113;0
114;0
115;0
116;0
117;0
118;0
119;0
120;0
121;0
122;0
123;0
124;0
125;0
126;0
127;0
128;0
129;0,08550425
130;0,17544
131;0,2488275
132;0,28793625
133;0,2429325
134;0,1467325
135;0,084779
136;0,000226413
137;0
138;0
139;0
140;0
141;0
142;0
143;0
144;0
145;0
146;0
147;0
148;0
149;0
150;0
151;0
152;0
153;0,0388905
154;0,08328475
155;0,1197555
156;0,1311955
157;0,13299275
158;0,10475025
159;0,0362275
160;0,000267375
161;0
162;0
163;0
164;0
165;0
166;0
167;0
168;0
169;0
170;0
171;0
172;0
173;0
174;0
175;0
176;0
177;0,01102355
178;0,03358975
179;0,044657
180;0,06188325
181;0,050612
182;0,03238625
183;0,012867875
184;0,000130108
185;0
186;0
187;0
188;0
189;0
190;0
191;0
192;0
193;0
194;0
195;0
196;0
197;0
198;0
199;0
200;0
201;0
202;0,002029133
203;0,006137725
204;0,008420075
205;0,2567025
206;0,15505575
207;0,06138125
208;0,000559553
209;0
210;0
211;0
212;0
213;0
214;0
215;0
216;0
217;0
218;0
219;0
220;0
221;0
222;0
223;0
224;0
225;0,004274853
226;0,01984925
227;0,03238125
228;0,04512625
229;0,3689425
230;0,2540575
231;0,12047925
232;0,0003186
233;0
234;0
235;0
236;0
237;0
238;0
239;0
240;0
241;0
242;0
243;0
244;0
245;0
246;0
247;0
248;0
249;0,11452575
250;0,226475
251;0,3855875
252;0,33005
253;0,182004
254;0,17185
255;0,1002385
256;0,00068201
257;0
258;0
259;0
260;0
261;0
262;0
263;0
264;0
265;0
266;0
267;0
268;0
269;0
270;0
271;0
272;0
273;0,146885
274;0,2909025
275;0,39239
276;0,38158
277;0,3429025
278;0,265968
279;0,11933225
280;0,000495625
281;0
282;0
283;0
284;0
285;0
286;0
287;0
288;0
289;0
290;0
291;0
292;0
293;0
294;0
295;0
296;0
297;0,09211525
298;0,2025765
299;0,2693375
300;0,25106
301;0,252583
302;0,1826415
303;0,04951675
304;0,000565458
305;0
306;0
307;0
308;0
309;0
310;0
311;0
312;0
313;0
314;0
315;0
316;0
317;0
318;0
319;0
320;0
321;0
322;0,0074974
323;0,0179555
324;0,021788
325;0,020084
326;0,0131645
327;0,00386135
328;0
329;0
330;0
331;0
332;0
333;0
334;0
335;0
336;0
337;0
338;0
339;0
340;0
341;0
342;0
343;0
344;0
345;0,004865925
346;0,0183275
347;0,02738875
348;0,034994
349;0,03291375
350;0,02236825
351;0,008298775
352;0,000223843
353;0
354;0
355;0
356;0
357;0
358;0
359;0
360;0
361;0
362;0
363;0
364;0
365;0
366;0
367;0
368;0
369;0
370;0,00766125
371;0,015781
372;0,01849725
373;0,01739275
374;0,011299575
375;0,00320397
376;0
377;0
378;0
379;0
380;0
381;0
382;0
383;0
384;0
385;0
386;0
387;0
388;0
389;0
390;0
391;0
392;0
393;0,04861195
394;0,162853
395;0,2718035
396;0,337345
397;0,33975
398;0,381095
399;0,16393
400;0,005693325
401;0
402;0
403;0
404;0
405;0
406;0
407;0
