id;wind
0;0,010715725
1;0,012131
2;0,002469958
3;0,0108305
4;0,012131
5;0,012131
6;0,012131
7;0,028951
8;0,02462475
9;0,1440795
10;0,1147815
11;0,08459
12;0,134103
13;0,1825425
14;0,16328
15;0,3183725
16;0,1876375
17;0,1774425
18;0,1147815
19;0,08459
20;0,1328955
21;0,0497465
22;0,012308
23;0,012131
24;0,01443275
25;0,08731525
26;0,28235
27;0,2769425
28;0,39344
29;0,2769425
30;0,32555
31;0,118635
32;0,08459
33;0,08459
34;0,08459
35;0,05327525
36;0,1243915
37;0,175745
38;0,097873
39;0,143765
40;0,09425
41;0,084284
42;0,03497275
43;0,012131
44;0,002469958
45;0,000868855
46;0
47;0
48;0
49;0
50;0
51;0
52;0
53;0
54;0
55;0
56;0
57;0,000868855
58;0,008043653
59;0,012131
60;0,0187705
61;0,012131
62;0,00377053
63;0,01127325
64;0,0744745
65;0,3338425
66;0,3732775
67;0,1876375
68;0,15705
69;0,1961375
70;0,15705
71;0,2097325
72;0,15705
73;0,174045
74;0,3195075
75;0,44918
76;0,70731
77;0,4054075
78;0,12965675
79;0,0616395
80;0,038689
81;0,0223115
82;0,0355905
83;0,02186875
84;0,07051375
85;0,02603825
86;0,012131
87;0,012131
88;0,012131
89;0,03027875
90;0,038689
91;0,047104
92;0,02054075
93;0,0355905
94;0,038689
95;0,044809
96;0,182631
97;0,3777575
98;0,24635
99;0,1370125
100;0,3412925
101;0,32847
102;0,3912
103;0,213055
104;0,1087425
105;0,0616395
106;0,0355905
107;0,012131
108;0,01655725
109;0,0593445
110;0,044809
111;0,05322425
112;0,162236
113;0,34639
114;0,3613975
115;0,124915
116;0,2892925
117;0,3575925
118;0,25902
119;0,2989625
120;0,6640425
121;0,76721
122;0,76721
123;0,7431125
124;0,56066
125;0,56066
126;0,56066
127;0,56066
128;0,480385
129;0,213055
130;0,22163
131;0,3826775
132;0,6874725
133;0,93136
134;0,9591625
135;0,8381475
136;0,35552
137;0,0674745
138;0,0355905
139;0,012131
140;0,012131
141;0,00469958
142;0,00098361
143;0,00098361
144;0,000786888
145;0
146;0
147;0,000622952
148;0,00098361
149;0,00037705
150;0
151;0,000622952
152;0,000131148
153;0
154;0,000868855
155;0,00098361
156;0,000655737
157;0,00098361
158;0,008043725
159;0,00098361
160;0,00098361
161;0,008043653
162;0,012131
163;0,0223115
164;0,012131
165;0,0355905
166;0,038689
167;0,03337725
168;0,012131
169;0,012131
170;0,031164
171;0,009344225
172;0,000953007
173;3,06E-05
174;0
175;0
176;0,000131148
177;0,001057932
178;0,0121398
179;0,04250375
180;0,1347015
181;0,353
182;0,2057275
183;0,05253975
184;0,1197335
185;0,1825425
186;0,151735
187;0,085073
188;0,1068205
189;0,3775225
190;0,562035
191;0,74862
192;0,551475
193;0,6536075
194;0,7431125
195;0,56066
196;0,482625
197;0,3396725
198;0,502135
199;0,469235
200;0,235145
201;0,34639
202;0,42967
203;0,53279
204;0,26203
205;0,1210615
206;0,1568075
207;0,09425
208;0,1068205
209;0,3914575
210;0,60197
211;0,56066
212;0,471475
213;0,3798475
214;0,2047825
215;0,2097325
216;0,18818
217;0,4851925
218;0,2706125
219;0,1210615
220;0,165645
221;0,25868
222;0,19104
223;0,1087425
224;0,16389
225;0,49
226;0,9051575
227;0,8346
