id;pv_rooftop
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0,078477142
10;0,042747596
11;0,108940863
12;0,240009557
13;0,205555954
14;0,321205934
15;0,056431421
16;0,000107505
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
25;0
26;0
27;0
28;0
29;0
30;0
31;0
32;0
33;0,01401898
34;0,029331048
35;0,034481775
36;0,04035439
37;0,048038463
38;0,031163696
39;0,009625367
40;4,08E-05
41;0
42;0
43;0
44;0
45;0
46;0
47;0
48;0
49;0
50;0
51;0
52;0
53;0
54;0
55;0
56;0
57;0,256532289
58;0,380023579
59;0,352867342
60;0,136958645
61;0,119601817
62;0,109726559
63;0,045159849
64;0,000323236
65;0
66;0
67;0
68;0
69;0
70;0
71;0
72;0
73;0
74;0
75;0
76;0
77;0
78;0
79;0
80;0
81;0,213733405
82;0,370512395
83;0,452012408
84;0,431253947
85;0,380572579
86;0,317822842
87;0,100736685
88;0,000246882
89;0
90;0
91;0
92;0
93;0
94;0
95;0
96;0
97;0
98;0
99;0
100;0
101;0
102;0
103;0
104;0
105;0,010971765
106;0,031023075
107;0,039668862
108;0,047412892
109;0,038107583
110;0,026375357
111;0,009396906
112;6,37E-05
113;0
114;0
115;0
116;0
117;0
118;0
119;0
120;0
121;0
122;0
123;0
124;0
125;0
126;0
127;0
128;0
129;0,113283983
130;0,240432865
131;0,313786729
132;0,313361013
133;0,266994592
134;0,165513146
135;0,090401037
136;0,000204462
137;0
138;0
139;0
140;0
141;0
142;0
143;0
144;0
145;0
146;0
147;0
148;0
149;0
150;0
151;0
152;0
153;0,049945035
154;0,097444611
155;0,142267812
156;0,151928045
157;0,172835795
158;0,137762641
159;0,040759879
160;0,000171163
161;0
162;0
163;0
164;0
165;0
166;0
167;0
168;0
169;0
170;0
171;0
172;0
173;0
174;0
175;0
176;0
177;0,0138054
178;0,03673725
179;0,047252045
180;0,063326909
181;0,05110877
182;0,032220521
183;0,012424231
184;8,75E-05
185;0
186;0
187;0
188;0
189;0
190;0
191;0
192;0
193;0
194;0
195;0
196;0
197;0
198;0
199;0
200;0
201;0
202;0,002880052
203;0,007059538
204;0,009261558
205;0,299698619
206;0,189321928
207;0,07746012
208;0,000437226
209;0
210;0
211;0
212;0
213;0
214;0
215;0
216;0
217;0
218;0
219;0
220;0
221;0
222;0
223;0
224;0
225;0,007422986
226;0,024743045
227;0,035536674
228;0,048867502
229;0,385255934
230;0,27225825
231;0,149258412
232;0,000341608
233;0
234;0
235;0
236;0
237;0
238;0
239;0
240;0
241;0
242;0
243;0
244;0
245;0
246;0
247;0
248;0
249;0,158156546
250;0,274323502
251;0,521879882
252;0,390587013
253;0,165927304
254;0,20259328
255;0,107638674
256;0,00046462
257;0
258;0
259;0
260;0
261;0
262;0
263;0
264;0
265;0
266;0
267;0
268;0
269;0
270;0
271;0
272;0
273;0,219116735
274;0,38385454
275;0,492363908
276;0,507976698
277;0,43201725
278;0,319477066
279;0,139167648
280;0,000542889
281;0
282;0
283;0
284;0
285;0
286;0
287;0
288;0
289;0
290;0
291;0
292;0
293;0
294;0
295;0
296;0
297;0,133107217
298;0,250053849
299;0,30854089
300;0,29836946
301;0,289583775
302;0,166311845
303;0,056072163
304;0,000463173
305;0
306;0
307;0
308;0
309;0
310;0
311;0
312;0
313;0
314;0
315;0
316;0
317;0
318;0
319;0
320;0
321;0,002047898
322;0,010691558
323;0,019100144
324;0,022132406
325;0,019926533
326;0,012633742
327;0,003629593
328;0
329;0
330;0
331;0
332;0
333;0
334;0
335;0
336;0
337;0
338;0
339;0
340;0
341;0
342;0
343;0
344;0
345;0,007438276
346;0,022279046
347;0,03232093
348;0,035857646
349;0,030254957
350;0,019111701
351;0,007365317
352;0,000166528
353;0
354;0
355;0
356;0
357;0
358;0
359;0
360;0
361;0
362;0
363;0
364;0
365;0
366;0
367;0
368;0
369;0,001945208
370;0,011299696
371;0,017800121
372;0,02049913
373;0,018820105
374;0,011890401
375;0,003161821
376;0
377;0
378;0
379;0
380;0
381;0
382;0
383;0
384;0
385;0
386;0
387;0
388;0
389;0
390;0
391;0
392;0
393;0,162519651
394;0,305094711
395;0,35647196
396;0,348667974
397;0,362768846
398;0,245694355
