;CO2_2020;CO2_2025;CO2_2030;CO2_2035;CO2_2040;CO2_2045;CO2_2050
0;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
1;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
2;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
3;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
4;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
5;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
6;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
7;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
8;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
9;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
10;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
11;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
12;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
13;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
14;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
15;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
16;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
17;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
18;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
19;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
20;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
21;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
22;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
23;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
24;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
25;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
26;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
27;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
28;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
29;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
30;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
31;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
32;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
33;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
34;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
35;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
36;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
37;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
38;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
39;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
40;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
41;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
42;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
43;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
44;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
45;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
46;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
47;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
48;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
49;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
50;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
51;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
52;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
53;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
54;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
55;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
56;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
57;0,0587;0,07674;0,10864;0,12858;0,14536;0,15644;0,16694
