id;gas_2020;gas_2025;gas_2030;gas_2035;gas_2040;gas_2045;gas_2050
105;38,6;35,1;23,08;22,56;22,56;20,2;17,6
106;38,6;35,1;23,08;22,56;22,56;20,2;17,6
107;38,6;35,1;23,08;22,56;22,56;20,2;17,6
108;38,6;35,1;23,08;22,56;22,56;20,2;17,6
109;38,6;35,1;23,08;22,56;22,56;20,2;17,6
110;38,6;35,1;23,08;22,56;22,56;20,2;17,6
111;38,6;35,1;23,08;22,56;22,56;20,2;17,6
112;38,6;35,1;23,08;22,56;22,56;20,2;17,6
113;38,6;35,1;23,08;22,56;22,56;20,2;17,6
114;38,6;35,1;23,08;22,56;22,56;20,2;17,6
115;38,6;35,1;23,08;22,56;22,56;20,2;17,6
116;38,6;35,1;23,08;22,56;22,56;20,2;17,6
117;38,6;35,1;23,08;22,56;22,56;20,2;17,6
118;38,6;35,1;23,08;22,56;22,56;20,2;17,6
119;38,6;35,1;23,08;22,56;22,56;20,2;17,6
120;38,6;35,1;23,08;22,56;22,56;20,2;17,6
121;38,6;35,1;23,08;22,56;22,56;20,2;17,6
122;38,6;35,1;23,08;22,56;22,56;20,2;17,6
123;38,6;35,1;23,08;22,56;22,56;20,2;17,6
124;38,6;35,1;23,08;22,56;22,56;20,2;17,6
125;38,6;35,1;23,08;22,56;22,56;20,2;17,6
126;38,6;35,1;23,08;22,56;22,56;20,2;17,6
127;38,6;35,1;23,08;22,56;22,56;20,2;17,6
128;38,6;35,1;23,08;22,56;22,56;20,2;17,6
129;38,6;35,1;23,08;22,56;22,56;20,2;17,6
130;38,6;35,1;23,08;22,56;22,56;20,2;17,6
131;38,6;35,1;23,08;22,56;22,56;20,2;17,6
132;38,6;35,1;23,08;22,56;22,56;20,2;17,6
133;38,6;35,1;23,08;22,56;22,56;20,2;17,6
134;38,6;35,1;23,08;22,56;22,56;20,2;17,6
135;38,6;35,1;23,08;22,56;22,56;20,2;17,6
136;38,6;35,1;23,08;22,56;22,56;20,2;17,6
137;38,6;35,1;23,08;22,56;22,56;20,2;17,6
138;38,6;35,1;23,08;22,56;22,56;20,2;17,6
139;38,6;35,1;23,08;22,56;22,56;20,2;17,6
140;38,6;35,1;23,08;22,56;22,56;20,2;17,6
141;38,6;35,1;23,08;22,56;22,56;20,2;17,6
142;38,6;35,1;23,08;22,56;22,56;20,2;17,6
143;38,6;35,1;23,08;22,56;22,56;20,2;17,6
144;38,6;35,1;23,08;22,56;22,56;20,2;17,6
145;38,6;35,1;23,08;22,56;22,56;20,2;17,6
146;38,6;35,1;23,08;22,56;22,56;20,2;17,6
147;38,6;35,1;23,08;22,56;22,56;20,2;17,6
148;38,6;35,1;23,08;22,56;22,56;20,2;17,6
149;38,6;35,1;23,08;22,56;22,56;20,2;17,6
150;38,6;35,1;23,08;22,56;22,56;20,2;17,6
151;38,6;35,1;23,08;22,56;22,56;20,2;17,6
152;38,6;35,1;23,08;22,56;22,56;20,2;17,6
153;38,6;35,1;23,08;22,56;22,56;20,2;17,6
154;38,6;35,1;23,08;22,56;22,56;20,2;17,6
155;38,6;35,1;23,08;22,56;22,56;20,2;17,6
156;38,6;35,1;23,08;22,56;22,56;20,2;17,6
157;38,6;35,1;23,08;22,56;22,56;20,2;17,6
158;38,6;35,1;23,08;22,56;22,56;20,2;17,6
159;38,6;35,1;23,08;22,56;22,56;20,2;17,6
160;38,6;35,1;23,08;22,56;22,56;20,2;17,6
161;38,6;35,1;23,08;22,56;22,56;20,2;17,6
162;38,6;35,1;23,08;22,56;22,56;20,2;17,6
163;38,6;35,1;23,08;22,56;22,56;20,2;17,6
164;38,6;35,1;23,08;22,56;22,56;20,2;17,6
165;38,6;35,1;23,08;22,56;22,56;20,2;17,6
166;38,6;35,1;23,08;22,56;22,56;20,2;17,6
167;38,6;35,1;23,08;22,56;22,56;20,2;17,6
168;38,6;35,1;23,08;22,56;22,56;20,2;17,6
169;38,6;35,1;23,08;22,56;22,56;20,2;17,6
170;38,6;35,1;23,08;22,56;22,56;20,2;17,6
171;38,6;35,1;23,08;22,56;22,56;20,2;17,6
172;38,6;35,1;23,08;22,56;22,56;20,2;17,6
173;38,6;35,1;23,08;22,56;22,56;20,2;17,6
174;38,6;35,1;23,08;22,56;22,56;20,2;17,6
175;38,6;35,1;23,08;22,56;22,56;20,2;17,6
176;38,6;35,1;23,08;22,56;22,56;20,2;17,6
177;38,6;35,1;23,08;22,56;22,56;20,2;17,6
178;38,6;35,1;23,08;22,56;22,56;20,2;17,6
179;38,6;35,1;23,08;22,56;22,56;20,2;17,6
180;38,6;35,1;23,08;22,56;22,56;20,2;17,6
181;38,6;35,1;23,08;22,56;22,56;20,2;17,6
182;38,6;35,1;23,08;22,56;22,56;20,2;17,6
183;38,6;35,1;23,08;22,56;22,56;20,2;17,6
184;38,6;35,1;23,08;22,56;22,56;20,2;17,6
185;38,6;35,1;23,08;22,56;22,56;20,2;17,6
186;38,6;35,1;23,08;22,56;22,56;20,2;17,6
187;38,6;35,1;23,08;22,56;22,56;20,2;17,6
188;38,6;35,1;23,08;22,56;22,56;20,2;17,6
189;38,6;35,1;23,08;22,56;22,56;20,2;17,6
190;38,6;35,1;23,08;22,56;22,56;20,2;17,6
191;38,6;35,1;23,08;22,56;22,56;20,2;17,6
192;38,6;35,1;23,08;22,56;22,56;20,2;17,6
193;38,6;35,1;23,08;22,56;22,56;20,2;17,6
194;38,6;35,1;23,08;22,56;22,56;20,2;17,6
195;38,6;35,1;23,08;22,56;22,56;20,2;17,6
196;38,6;35,1;23,08;22,56;22,56;20,2;17,6
197;38,6;35,1;23,08;22,56;22,56;20,2;17,6
198;38,6;35,1;23,08;22,56;22,56;20,2;17,6
199;38,6;35,1;23,08;22,56;22,56;20,2;17,6
200;38,6;35,1;23,08;22,56;22,56;20,2;17,6
201;38,6;35,1;23,08;22,56;22,56;20,2;17,6
202;38,6;35,1;23,08;22,56;22,56;20,2;17,6
203;38,6;35,1;23,08;22,56;22,56;20,2;17,6
204;38,6;35,1;23,08;22,56;22,56;20,2;17,6
205;38,6;35,1;23,08;22,56;22,56;20,2;17,6
206;38,6;35,1;23,08;22,56;22,56;20,2;17,6
207;38,6;35,1;23,08;22,56;22,56;20,2;17,6
208;38,6;35,1;23,08;22,56;22,56;20,2;17,6
209;38,6;35,1;23,08;22,56;22,56;20,2;17,6
210;38,6;35,1;23,08;22,56;22,56;20,2;17,6
211;38,6;35,1;23,08;22,56;22,56;20,2;17,6
212;38,6;35,1;23,08;22,56;22,56;20,2;17,6
213;38,6;35,1;23,08;22,56;22,56;20,2;17,6
214;38,6;35,1;23,08;22,56;22,56;20,2;17,6
215;38,6;35,1;23,08;22,56;22,56;20,2;17,6
216;38,6;35,1;23,08;22,56;22,56;20,2;17,6
217;38,6;35,1;23,08;22,56;22,56;20,2;17,6
218;38,6;35,1;23,08;22,56;22,56;20,2;17,6
219;38,6;35,1;23,08;22,56;22,56;20,2;17,6
220;38,6;35,1;23,08;22,56;22,56;20,2;17,6
221;38,6;35,1;23,08;22,56;22,56;20,2;17,6
222;38,6;35,1;23,08;22,56;22,56;20,2;17,6
223;38,6;35,1;23,08;22,56;22,56;20,2;17,6
224;38,6;35,1;23,08;22,56;22,56;20,2;17,6
225;38,6;35,1;23,08;22,56;22,56;20,2;17,6
226;38,6;35,1;23,08;22,56;22,56;20,2;17,6
227;38,6;35,1;23,08;22,56;22,56;20,2;17,6
228;38,6;35,1;23,08;22,56;22,56;20,2;17,6
229;38,6;35,1;23,08;22,56;22,56;20,2;17,6
230;38,6;35,1;23,08;22,56;22,56;20,2;17,6
231;38,6;35,1;23,08;22,56;22,56;20,2;17,6
