;Brown_coal_2020;Brown_coal_2025;Brown_coal_2030;Brown_coal_2035;Brown_coal_2040;Brown_coal_2045;Brown_coal_2050
0;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
1;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
2;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
3;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
4;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
5;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
6;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
7;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
8;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
9;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
10;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
11;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
12;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
13;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
14;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
15;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
16;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
17;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
18;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
19;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
20;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
21;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
22;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
23;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
24;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
25;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
26;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
27;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
28;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
29;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
30;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
31;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
32;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
33;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
34;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
35;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
36;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
37;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
38;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
39;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
40;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
41;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
42;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
43;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
44;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
45;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
46;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
47;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
48;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
49;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
50;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
51;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
52;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
53;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
54;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
55;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
56;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
57;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
58;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
59;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
60;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
61;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
62;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
63;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
64;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
65;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
66;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
67;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
68;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
69;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
70;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
71;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
72;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
73;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
