id;hydrogen_2020;hydrogen_2025;hydrogen_2030;hydrogen_2035;hydrogen_2040;hydrogen_2045;hydrogen_2050
174;161,2;151;135;118;100;100;100
175;161,2;151;135;118;100;100;100
176;161,2;151;135;118;100;100;100
177;161,2;151;135;118;100;100;100
178;161,2;151;135;118;100;100;100
179;161,2;151;135;118;100;100;100
180;161,2;151;135;118;100;100;100
181;161,2;151;135;118;100;100;100
182;161,2;151;135;118;100;100;100
183;161,2;151;135;118;100;100;100
184;161,2;151;135;118;100;100;100
185;161,2;151;135;118;100;100;100
186;161,2;151;135;118;100;100;100
187;161,2;151;135;118;100;100;100
188;161,2;151;135;118;100;100;100
189;161,2;151;135;118;100;100;100
190;161,2;151;135;118;100;100;100
191;161,2;151;135;118;100;100;100
192;161,2;151;135;118;100;100;100
193;161,2;151;135;118;100;100;100
194;161,2;151;135;118;100;100;100
195;161,2;151;135;118;100;100;100
196;161,2;151;135;118;100;100;100
197;161,2;151;135;118;100;100;100
198;161,2;151;135;118;100;100;100
199;161,2;151;135;118;100;100;100
200;161,2;151;135;118;100;100;100
201;161,2;151;135;118;100;100;100
202;161,2;151;135;118;100;100;100
203;161,2;151;135;118;100;100;100
204;161,2;151;135;118;100;100;100
205;161,2;151;135;118;100;100;100
206;161,2;151;135;118;100;100;100
207;161,2;151;135;118;100;100;100
208;161,2;151;135;118;100;100;100
209;161,2;151;135;118;100;100;100
210;161,2;151;135;118;100;100;100
211;161,2;151;135;118;100;100;100
212;161,2;151;135;118;100;100;100
213;161,2;151;135;118;100;100;100
214;161,2;151;135;118;100;100;100
215;161,2;151;135;118;100;100;100
216;161,2;151;135;118;100;100;100
217;161,2;151;135;118;100;100;100
218;161,2;151;135;118;100;100;100
219;161,2;151;135;118;100;100;100
220;161,2;151;135;118;100;100;100
221;161,2;151;135;118;100;100;100
222;161,2;151;135;118;100;100;100
223;161,2;151;135;118;100;100;100
224;161,2;151;135;118;100;100;100
225;161,2;151;135;118;100;100;100
226;161,2;151;135;118;100;100;100
227;161,2;151;135;118;100;100;100
228;161,2;151;135;118;100;100;100
229;161,2;151;135;118;100;100;100
230;161,2;151;135;118;100;100;100
231;161,2;151;135;118;100;100;100
232;161,2;151;135;118;100;100;100
233;161,2;151;135;118;100;100;100
234;161,2;151;135;118;100;100;100
235;161,2;151;135;118;100;100;100
236;161,2;151;135;118;100;100;100
237;161,2;151;135;118;100;100;100
238;161,2;151;135;118;100;100;100
239;161,2;151;135;118;100;100;100
240;161,2;151;135;118;100;100;100
241;161,2;151;135;118;100;100;100
242;161,2;151;135;118;100;100;100
243;161,2;151;135;118;100;100;100
244;161,2;151;135;118;100;100;100
245;161,2;151;135;118;100;100;100
246;161,2;151;135;118;100;100;100
247;161,2;151;135;118;100;100;100
248;161,2;151;135;118;100;100;100
249;161,2;151;135;118;100;100;100
250;161,2;151;135;118;100;100;100
251;161,2;151;135;118;100;100;100
252;161,2;151;135;118;100;100;100
253;161,2;151;135;118;100;100;100
254;161,2;151;135;118;100;100;100
255;161,2;151;135;118;100;100;100
256;161,2;151;135;118;100;100;100
