id;oil_2020;oil_2025;oil_2030;oil_2035;oil_2040;oil_2045;oil_2050
0;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
1;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
2;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
3;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
4;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
5;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
6;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
7;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
8;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
9;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
10;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
11;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
12;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
13;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
14;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
15;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
16;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
17;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
18;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
19;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
20;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
21;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
22;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
23;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
24;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
25;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
26;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
27;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
28;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
29;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
30;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
31;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
32;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
33;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
34;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
35;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
36;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
37;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
38;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
39;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
40;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
41;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
42;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
43;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
44;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
45;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
46;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
47;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
48;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
49;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
50;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
51;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
52;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
53;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
54;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
55;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
56;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
57;34,95285046;35,31227233;38,60388499;38,96207173;38,34450838;37,72694503;37,10938168
